article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
D.I. Pandjaitan;1925-06-09;1965-10-01;Lubang Buaya, Jakarta, Indonesia;;;;Donald Izaacus Pandjaitan;;Marieke br. Tambunan;"Catherine Pandjaitan
Masa Arestina
Ir (Ing) Salomo Pandjaitan
Letjen TNI (Purn.) Hotmangaraja Panjaitan
Tuthy Kamarati Pandjaitan
Riri Budiasri Pandjaitan";;;Natolutali, Silaen, Toba, Hindia Belanda;"Mayor Jenderal TNI (Anm.) Donald Izaacus Pandjaitan (EYD: Donald Izaacus Panjaitan;) (9 Juni 1925 – 1 Oktober 1965) adalah salah satu pahlawan revolusi Indonesia. Ia dimakamkan di Taman Makam Pahlawan Nasional Kalibata, Jakarta.";https://id.wikipedia.org/wiki/D.I._Pandjaitan;;D. I. Pandjaitan.jpg
Arnold Achmad Baramuli;1930-07-20;2006-10-11;Jakarta, Indonesia;Islam;;;Arnold Baramuli;;Albertina Kaunang;;Jaksa;;Pinrang, Hindia Belanda;Arnold Achmad Baramuli (20 Juli 1930 – 11 Oktober 2006) adalah seorang pengusaha, politikus, mantan Gubernur Sulawesi Utara, dan jaksa Indonesia. Berasal dari Partai Golkar, ia adalah pendiri Grup Poleko yang pernah berusaha dalam industri kimia.;https://id.wikipedia.org/wiki/Arnold_Achmad_Baramuli;;Arnold achmad baramuli.jpg
Soedarsono Hadisapoetro;1921-07-15;1988-06-10;Jakarta, Indonesia;;;;;;Sendang Lestari;;;Universitas Gadjah Mada;Surakarta, Jawa Tengah, Indonesia;Prof. Ir. Soedarsono Hadisapoetro (15 Juli 1921 – 10 Juni 1988) adalah Menteri Pertanian pada Kabinet Pembangunan III pada pemerintahan Presiden Soeharto. Sebelumnya, Ia adalah Guru Besar di Fakultas Pertanian Universitas Gadjah Mada yang dikukuhkan pada tahun 1970. Selain sebagai Menteri Pertanian dan Guru Besar Pertanian, ia juga dikenal sebagai mantan Ketua Dekopin (Dewan Koperasi Indonesia).;https://id.wikipedia.org/wiki/Soedarsono_Hadisapoetro;;Soedarsono Hadisapoetro.jpg
Ishak Mekki;1958-03-01;;;Islam;;;;;Tartila Ishak;;;Universitas Sriwijaya;Kayu Agung, Sumatera Selatan;Ir. H. Ishak Mekki, M.M. (lahir 1 Maret 1958) adalah Wakil Gubernur Sumatera Selatan masa jabatan 2013-2018 yang mendampingi gubernur Alex Noerdin.;https://id.wikipedia.org/wiki/Ishak_Mekki;;File:Ir. H. ISHAK MEKKI.jpg
Wongsonegoro;1897-04-20;1978-03-04;Jakarta, Indonesia;Kejawen;;;;;;;;;Surakarta, Hindia Belanda;Mr. Wongsonegoro (20 April 1897 – 4 Maret 1978) adalah Wakil Perdana Menteri Indonesia Kabinet Ali Sastroamidjojo I pada tahun 1953 hingga tahun 1955 dan Menteri Pendidikan dan Kebudayaan Indonesia pada tahun 1951 hingga tahun 1952. Selain itu pada masa persiapan kemerdekaan Indonesia, ia juga bergabung dengan BPUPKI, mewakili Surakarta, bersama-sama dengan Wuryaningrat, Sosrodiningrat, dan Radjiman Wedyodiningrat.;https://id.wikipedia.org/wiki/Wongsonegoro;;Wongsonegoro, Kami Perkenalkan (1954), p17.jpg
Muhammad Alwi Dahlan;1933-05-15;2024-03-20;Jakarta, Indonesia;Islam;;;;;Erlita;;;"Universitas Amerika
Universitas Stanford
Universitas Illinois Urbana-Champaign";Padang, Sumatera Barat, Hindia Belanda;Prof. Muhammad Alwi Dahlan, M.A., Ph.D. (15 Mei 1933 – 20 Maret 2024) adalah salah seorang tokoh politik Indonesia. Sebelum diangkat sebagai Menteri Penerangan dalam kabinet terakhir yang dipimpin oleh Presiden Soeharto (Maret-21 Mei 1998), ia pernah menjabat sebagai Asisten Menteri Negara bidang Keserasian Kependudukan dan Lingkungan, dan Bidang Kependudukan, di Kementerian Lingkungan Hidup (1979-1993) serta Kepala BP7 (Badan Pembinaan Pendidikan Pelaksanaan Pedoman Penghayatan dan Pengamalan Pancasila) (1993-1998). Pada 5 Juli 1997, ia dikukuhkan sebagai Guru Besar dalam bidang ilmu komunikasi di Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia.;https://id.wikipedia.org/wiki/Muhammad_Alwi_Dahlan;;Muhammad Alwi Dahlan.jpg
Wismoyo Arismunandar;1940-02-10;2021-01-28;Rumah Sakit Pondok Indah, Jakarta Selatan;Islam;;;;;Siti Hardjanti;"Krisnawati Purwaningrum
Tegar Arsono Yudho";;Akademi Militer;NLD Bondowoso, Hindia Belanda;Jenderal TNI (Purn.) Wismoyo Arismunandar (10 Februari 1940 – 28 Januari 2021) adalah purnawirawan perwira tinggi TNI AD yang pernah menjabat sebagai Kepala Staf TNI Angkatan Darat pada tahun 1993 sampai 1995 dan Pangkostrad periode 1990 sampai dengan 1993. Ia merupakan lulusan Akademi Militer tahun 1963. Wismoyo merupakan anak dari pasangan Sri Wurjan dan Arismunandar.Setelah pensiun, ia dikenal sebagai Ketua Komite Olahraga Nasional Indonesia (KONI) yang mengantarkan Indonesia menjadi Juara Umum SEA Games 1997 di Jakarta.;https://id.wikipedia.org/wiki/Wismoyo_Arismunandar;;Jenderal TNI Wismoyo Arismunandar.png
Alirahman;1945-10-10;2016-01-15;Jakarta;;;;;;;;;Institut Pertanian Bogor;Menggala, Tulang Bawang, Lampung, Wilayah Kolonial Jepang;Ir. Alirahman, M.Sc., Ph.D. (10 Oktober 1945 – 15 Januari 2016) adalah Menteri Sekretaris Negara pada Kabinet Persatuan Nasional.;https://id.wikipedia.org/wiki/Alirahman;;Alirahman.jpg
Awaloedin Djamin;1927-09-26;2019-01-31;Jakarta, Indonesia;;;;;;;;;"PTIK Jakarta
Universitas Pittsburgh
Universitas California Selatan";Padang, Sumatera Barat, Hindia Belanda;Jenderal Polisi (Purn.) Prof. Dr. Drs. Awaloedin Djamin, M.P.A. (26 September 1927 – 31 Januari 2019) adalah tokoh Kepolisian Republik Indonesia (Polri) dan akademikus. Ia pernah menjabat sebagai Kepala Kepolisian Negara Republik Indonesia (Kapolri) pada periode 1978 sampai 1982, sebagai Menteri Tenaga Kerja pada Kabinet Ampera (1966), dan juga pernah ditugaskan sebagai Duta Besar untuk Jerman Barat. Ia aktif mengajar di Perguruan Tinggi Ilmu Kepolisian (PTIK) dan diangkat sebagai Guru Besar dan Lektor Luar Biasa pada tahun 1964. Ia diangkat sebagai Dekan PTIK dan Guru Besar Fakultas Ilmu Sosial dan Ilmu Politik Universitas Indonesia pada tahun 1986.;https://id.wikipedia.org/wiki/Awaloedin_Djamin;;Portrait of Awaluddin Djamin.jpg
Sutopo Juwono;1927-05-14;1999-02-19;Singapura;;;;;;Sunarni Gondosaputro;;;;Klaten, Jawa Tengah;Letnan Jenderal TNI (Purn.) Sutopo Juwono (14 Mei 1927 – 19 Februari 1999) adalah seorang purnawirawan perwira tinggi Tentara Nasional Indonesia Angkatan Darat (TNI AD) yang pernah menjabat sebagai Kepala Badan Koordinasi Intelijen pada tahun 1970 hingga 1974 dan Gubernur Lembaga Ketahanan Nasional dari tahun 1978 sampai 1983. Sutopo menikah dengan Sunarni Gondosaputro dan dianugerahi lima anak (satu di antaranya meninggal pada tahun 1980).;https://id.wikipedia.org/wiki/Sutopo_Juwono;;Koningin Juliana ontvangt op Huis ten Bosch de minister van Sociale Zaken van In, Bestanddeelnr 927-2777 (Sutopo Yuwono).jpg
Pramono Edhie Wibowo;1955-05-05;2020-06-13;Cimacan, Cipanas, Cianjur, Jawa Barat;;;;;;Kiki Gayatri Soepono;;;"Akademi Tentara Nasional Indonesia
Seskoad
Sesko TNI";Magelang, Jawa Tengah;Jenderal TNI (Purn.) Pramono Edhie Wibowo (5 Mei 1955 – 13 Juni 2020) adalah mantan Kepala Staf Angkatan Darat (KSAD) yang dilantik berdasarkan Surat Keputusan Presiden nomor: 40/TNI/2011, menggantikan Jenderal TNI George Toisutta. Ketika itu, pengangkatannya sebagai KSAD menuai protes dari berbagai kalangan seperti KontraS yang menganggap bahwa terdapat unsur nepotisme karena Pramono Edhie merupakan ipar dari Presiden Susilo Bambang Yudhoyono sendiri.Sebelumnya, Pramono pernah menjabat sebagai Panglima Kostrad dan pada tahun 2009 juga pernah menjabat sebagai Pangdam III Siliwangi. Ayahnya, Letjen TNI (Purn.) Sarwo Edhie Wibowo, juga merupakan mantan Komandan RPKAD yang turut andil dalam penumpasan pemberontakan G 30 S/PKI.;https://id.wikipedia.org/wiki/Pramono_Edhie_Wibowo;"Susilo Bambang Yudhoyono
Ani Yudhoyono
Hartanto Edhie Wibowo";Jenderal TNI Pramono Edhie Wibowo.jpg
Paku Alam VIII;1910-04-10;1998-09-11;Yogyakarta, Indonesia;Islam;;;;Paku Alam VII;"KRAy. Ratnaningrum
KRAy. Purnamaningrum";"Ir. GPH. H. Probokusumo
GBRAy. Retno Sundari
GBRAy. Retno Sewayani
GPH. Anglingkusumo
GPH. Songkokusumo
GBRAj. Retno Pudjawati
GPH. Ndoyokusumo
GPH. Wijoyokusumo
GPH. Ambarkusumo
GBRAy. Retno Martani
GPH. Gondhokusumo
GBRAy. Retno Suskamdani
GBRAy. Retno Rukmini
GPH. H. Tjondrokusumo
GBRAy. Hj. Retno Widanarni
GPH. Indrokusumo";;;Pakualaman, masa Hindia Belanda;Mayor Jenderal TNI. (Tit.) BRMH Sularso Kunto Suratno (10 April 1910 – 11 September 1998) adalah Raja Pakualaman VIII yang diangkat sebagai KPH Prabu Suryodilogo pada 13 April 1937. Dengan masa jabatan selama 61 tahun, ia adalah penguasa Paku Alam dan juga penguasa negeri pecahan Mataram yang berkuasa paling lama.;https://id.wikipedia.org/wiki/Paku_Alam_VIII;;Paku Alam VIII 1980-an.jpg
Setyadjit Soegondo;1907-06-07;1948-12-20;Madiun, Indonesia;Islam;;;;;;;;;Belanda Sengon Hindia Belanda;Raden Mas Setyadjit Soegondo (7 Juni 1907 – 20 Desember 1948) adalah politikus Indonesia.;https://id.wikipedia.org/wiki/Setyadjit_Soegondo;;Setiadjid.jpg
Saifuddin Zuhri;1919-10-01;1986-02-25;Indonesia;Islam;;;;;;"Fahmi Saifuddin
Lukman Hakim Saifuddin";;;Banyumas, Jawa Tengah, Hindia Belanda;Prof. K.H. Saifuddin Zuhri (1 Oktober 1919 – 25 Maret 1986) adalah Menteri Agama Republik Indonesia pada Kabinet Kerja III, Kabinet Kerja IV, Kabinet Dwikora I, Kabinet Dwikora II, dan Kabinet Ampera I.;https://id.wikipedia.org/wiki/Saifuddin_Zuhri;;Saifuddin Zuhri, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p257.jpg
Ashari Danudirdjo;1922-11-03;2010-04-02;Jakarta, Indonesia;Islam;;;;;;;Tentara, Politisi, dan Atlet;;Semarang, Jawa Tengah, Hindia Belanda;Letnan Jenderal TNI (Purn.) Ashari Danudirdjo (EYD: Ashari Danudirjo) (3 November 1922 – 2 April 2010) adalah Menteri Perindustrian Indonesia pada Kabinet Dwikora I, Kabinet Dwikora I, dan Kabinet Ampera II serta Menteri Perdagangan pada Kabinet Ampera I antara tahun 1965-1968. Selain itu, ia juga pernah menjabat sebagai Duta Besar Indonesia untuk Jepang (1969-1972) dan Duta Besar Indonesia untuk Amerika Serikat (1978-82). Ia juga pernah berkompetisi di Olimpiade Roma 1960 sebagai atlet cabang layar mewakili Indonesia.;https://id.wikipedia.org/wiki/Ashari_Danudirdjo;;File:Ashari Danudirjo, Duta Besar RI untuk Amerika Serikat.jpg
Radius Prawiro;1928-09-19;2005-05-26;München, Jerman;Kristen Protestan;;;;;Leoni Supit;;;Universitas Indonesia;Yogyakarta, Hindia Belanda;Dr. Radius Prawiro, Drs. Ec., A.k. (29 Juni 1928 – 26 Mei 2005) adalah seorang ekonom dan politikus Indonesia. Ia lahir dari pasangan beragama kristen bernama Suradi Prawiro yang merupakan seorang guru, dan istrinya Suketri.;https://id.wikipedia.org/wiki/Radius_Prawiro;;Radius Prawiro, Gubernur Bank Indonesia.jpg
Abdul Latief (pengusaha);1940-04-27;;;Islam;;;;;"Nursyamsiah
Donna Louisa Maria";"Medina Latief Harjani
Dipo Latief";;"Akademi Pimpinan Perusahaan Jakarta
Universitas Krisnadwipayana";Banda Aceh, Aceh, Hindia Belanda;Drs. Abdul Latief (lahir 27 April 1940) adalah salah satu pengusaha Indonesia yang juga pernah menjabat sebagai menteri pada era pemerintahan Presiden Soeharto.;https://id.wikipedia.org/wiki/Abdul_Latief_(pengusaha);;Sixth Development Cabinet Poster (Abdul Latief).jpg
S.H. Simatupang;yes-1918-07;1992-11-16;Jakarta, Indonesia;;;;;;;;;;Sidikalang, Bataklanden, Keresidenan Tapanuli, Hindia Belanda;Sahala Hamonangan Simatupang (7 Juli 1918 – 16 November 1992) adalah seorang politikus dan pegawai negeri sipil asal Indonesia yang pernah menjadi Direktur Jenderal Pos dan Telekomunikasi, Direktur Jenderal PN Pos dan Telekomunikasi, Asisten Menteri untuk Urusan Pos, Giro, dan Telekomunikasi, Deputi Menteri Pos dan Telekomunikasi, serta Sekretaris Jenderal Departemen Perhubungan.;https://id.wikipedia.org/wiki/S.H._Simatupang;;Sahala Hamonangan Simatupang, 50 Tahun Peranan Pos dan Telekomunikasi (1996), p8.jpg
Agustinus Sutardhio;1925-03-15;1981-03-12;Jakarta, Indonesia;;;;;;;;;;Solo, Hindia Belanda;Brigadir Jenderal TNI (Purn.) Agustinus Michael Sutardhio (15 Maret 1925 – 12 Maret 1981) adalah bekas Jaksa Agung Indonesia.;https://id.wikipedia.org/wiki/Agustinus_Sutardhio;;Agustinus Sutardhio Mimbar Indonesia October 1964 Cover (cropped).jpg
Tjokropranolo;1924-05-21;1998-07-22;Jakarta, Indonesia;;;;Tjokropranolo;;;;;;Temanggung, Jawa Tengah, Hindia Belanda;Letnan Jenderal TNI (Purn.) Tjokropranolo (21 Mei 1924 – 22 Juli 1998) atau lebih akrab dengan panggilan Bang Nolly adalah salah satu mantan Gubernur DKI Jakarta dan tokoh militer dalam sejarah perjuangan Indonesia. Dia menjadi pengawal pribadi Panglima Besar Soedirman pada masa Revolusi Nasional Indonesia melawan pendudukan Belanda. Dia turut meloloskan Soedirman dari serangan maut tentara Belanda yang berkali-kali melakukan percobaan pembunuhan terhadap Soedirman. Dalam karier kemiliteran, ia tidak hanya terjun ke medan, tetapi juga banyak terlibat dalam posisi penting di balik layar, antara lain Asintel Siaga dan Kepala Intelijen dalam berbagai konflik, dan sekretaris militer untuk presiden.;https://id.wikipedia.org/wiki/Tjokropranolo;;Tjokropranolo as Governor of Jakarta.jpg
Theo L. Sambuaga;1949-06-06;;;;;;Theo L. Sambuaga;;Erna Sambuaga;Jerry Adithya Ksatria Sambuaga;;;Manado, Sulawesi Utara, Indonesia;Drs. Theo L. Sambuaga (lahir 6 Juni 1949) adalah anggota DPR dan mantan Menteri Negara Perumahan Rakyat dan Permukiman Indonesia pada era Kabinet Reformasi Pembangunan.;https://id.wikipedia.org/wiki/Theo_L._Sambuaga;;Theo_sambuaga.jpg
Haryono Suyono;1938-05-06;;;;;;;;Astuti Hasinah;;;"SMA Negeri 4 Yogyakarta
Universitas Gadjah Mada
Politeknik Statistika STIS
University of Chicago";Pacitan, Jawa Timur, Hindia Belanda;Prof. Haryono Suyono, M.A., Ph.D. (lahir 6 Mei 1938) adalah Menko Kesra Kabinet Reformasi Pembangunan. Selain itu ia dikenal sebagai Kepala Badan Koordinasi Keluarga Berencana Nasional (BKKBN) yang terkenal dengan program Keluarga Berencana pada era Presiden Soeharto.;https://id.wikipedia.org/wiki/Haryono_Suyono;;Sixth Development Cabinet Poster (Haryono Suyono).jpg
Basuki Rahmat;1921-11-04;1969-01-09;Jakarta, Indonesia;;;;;;;;Tentara;;Senori, Tuban, Hindia Belanda;Mayor Jenderal TNI (Purn.) Basuki Rahmat (4 November 1921 – 9 Januari 1969) adalah Jenderal Tentara Nasional Indonesia dan menjadi saksi penandatanganan Supersemar dokumen serah terima kekuasaan dari Presiden Soekarno kepada Jenderal Soeharto.;https://id.wikipedia.org/wiki/Basuki_Rahmat;;Basuki Rahmat, Departemen Dalam Negeri dari Masa ke Masa, p121.jpg
Bustanil Arifin;1925-10-10;2011-02-13;Los Angeles, Amerika Serikat;;;;;;;"Alwin Arifin
Emil Arifin";;Universitas Padjajaran;Padangpanjang, Sumatera Barat, Hindia Belanda;Letnan Jenderal TNI (Purn.) Bustanil Arifin, S.H. (10 Oktober 1925 – 13 Februari 2011) adalah seorang militer dan politisi Indonesia. Ia pernah menjabat Kepala Badan Urusan Logistik (Bulog) dan Menteri Koperasi Indonesia.;https://id.wikipedia.org/wiki/Bustanil_Arifin;;Bustanil Arifin - Fourth Development Cabinet.jpg
B. M. Diah;1917-04-07;1996-06-10;Jakarta, Indonesia;Islam;;;;;Siti Latifah Herawati;;;;Koeta Radja, Hindia Belanda;Burhanuddin Mohammad Diah (7 April 1917 – 10 Juni 1996) adalah seorang tokoh pers, pejuang kemerdekaan, diplomat, dan pengusaha Indonesia.;https://id.wikipedia.org/wiki/B._M._Diah;;BM Diah.jpg
Adrianus Mooy;1936-04-10;;;;;;;"Joseph Mooy
Elizabeth Octavianus";Amelia Latuperissa Mooy;;;"Universitas Gadjah Mada
Universitas Wisconsin–Madison";Lotelutun, Oelasin, Rote Barat Daya, Rote Ndao, Hindia Belanda;Prof. Dr. Adrianus Mooy, M.Sc., Ph.D. (lahir 10 April 1936) adalah ahli ekonomi Indonesia dan Gubernur Bank Indonesia untuk masa jabatan 1988-1993. Ia bersekolah di Universitas Gadjah Mada dan Universitas Wisconsin. Pada saat ini ia menjabat senior advisor untuk United Nations Support Facility for Indonesian Recovery (UNSFIR). Pada 13 Mei 2014, Mooy menerima gelar doktor kehormatan dari Universitas Corban.Sejak April 2007, ia bergabung dengan Universitas Pelita Harapan sebagai penasihat (2007), Dekan UPH Business School (2010) dan Rektor UPH Surabaya sampai tahun 2018.;https://id.wikipedia.org/wiki/Adrianus_Mooy;;Adrianus Mooy - Fifth Development Cabinet.jpg
Fuad Bawazier;1949-08-22;;;;;;;;Soerjati;Muhammad Haikal Bawazier;;"Universitas Gadjah Mada
William College
University of Maryland";Tegal, Jawa Tengah, Indonesia;Dr. Fuad Bawazier (lahir 22 Agustus 1949) adalah Menteri Keuangan Indonesia pada Kabinet Pembangunan VII. Ia pernah menjadi aktivis Pelajar Islam Indonesia (PII) dan Himpunan Mahasiswa Islam (HMI) serta pernah dicalonkan menjadi Ketua Umum Partai Amanat Nasional. Sebelum menjabat sebagai menteri keuangan, ia menjabat Dirjen Pajak. Setelah tidak di berkiprah di PAN ia menjadi salah satu pendiri Partai Hanura;https://id.wikipedia.org/wiki/Fuad_Bawazier;;Fuad Bawazier.jpg
Ratu Emma Norma;1928-03-03;2012-07-18;;;;;;"Tubagus Ilyas Angkawidjaja
Ubaid Djuabedah";Soedharmono;;;;Purwakarta, Hindia Belanda;Hj. Ratu Emma Norma atau biasa dikenal Ny. Ratu Emma Norma Soedharmono (3 Maret 1928 – 18 Juli 2012) adalah Istri Wakil Presiden Indonesia kelima yang menjabat selama periode 1988–1993;https://id.wikipedia.org/wiki/Ratu_Emma_Norma;;Emma Norma Sudharmono, Second Lady of Indonesia (1988) (cropped).png
Muhammad Sanusi;1920-11-28;2002-07-07;Solo, Jawa Tengah, Indonesia;Islam;;;;;;;;;Klaten, Jawa Tengah, Indonesia;Muhammad Sanusi (28 November 1920 – 7 Juli 2002), adalah Menteri Perindustrian Tekstil dan Rakyat pada Kabinet Ampera I dan Kabinet Ampera II pada masa pemerintahan Presiden Soekarno.;https://id.wikipedia.org/wiki/Muhammad_Sanusi;;Muhammad Sanusi - Kabinet Ampera I.jpg
Endang Kusuma Inten Soeweno;1944-02-02;;;Islam;;;;;Soeweno;;;;Tulungagung, Jawa Timur, Hindia Belanda;Ny. Endang Kusuma Inten Soeweno (lahir 2 Februari 1944) adalah politisi berkebangsaan Indonesia. Dia adalah mantan Menteri Sosial yang menjabat pada 17 Maret 1993 hingga 14 Maret 1998.;https://id.wikipedia.org/wiki/Endang_Kusuma_Inten_Soeweno;;Sixth Development Cabinet Poster (Endang Kusuma Inten Soeweno).jpg
Firman Santyabudi;1965-11-17;;;Islam;;;;;;;;Akademi Kepolisian;Jakarta;Irjen. Pol. (Purn.) Drs. Firman Santyabudi, M.Si. (lahir 17 November 1965)  adalah seorang purnawirawan Polri yang jabatan terakhirnya adalah Kepala Korps Lalu Lintas Polri.;https://id.wikipedia.org/wiki/Firman_Santyabudi;"Ryamizard Ryacudu
Nora Tristyana
Letjen TNI Kunto Arief Wibowo";
S.K. Trimurti;1912-05-11;2008-05-20;"Jakarta, Indonesia Nugraheni
    Naomy A.
    
    SK Trimurti Menteri Tenaga Kerja Pertama Indonesia 1947 - 1948, Begini Profilnya
    Nasional Tempo.co
    11 Mei 2022
    https://nasional.tempo.co/read/1590604/sk-trimurti-menteri-tenaga-kerja-pertama-indonesia-1947-1948-begini-profilnya
    12 Maret 2024";;;;Soerastri Karma Trimoerti;;Sayuti Melik;;Guru dan Ekonom;Universitas Indonesia;"Boyolali, Surakarta Hadiningrat  Nugraheni
    Naomy A.
    
    SK Trimurti Menteri Tenaga Kerja Pertama Indonesia 1947 - 1948, Begini Profilnya
    Nasional Tempo.co
    11 Mei 2022
    https://nasional.tempo.co/read/1590604/sk-trimurti-menteri-tenaga-kerja-pertama-indonesia-1947-1948-begini-profilnya
    12 Maret 2024";Surastri Karma Trimurti (ejaan lama Soerastri Karma Trimoerti, 11 Mei 1912 – 20 Mei 2008) adalah wartawan, penulis dan guru Indonesia, yang mengambil bagian dalam gerakan kemerdekaan Indonesia terhadap penjajahan oleh Belanda. Ia kemudian menjabat sebagai menteri tenaga kerja pertama di Indonesia dari tahun 1947 sampai 1948 di bawah Perdana Menteri Indonesia Amir Sjarifuddin.;https://id.wikipedia.org/wiki/S.K._Trimurti;;S K Trimurti 12 July 1947 KR.jpg
Lodewijk Freidrich Paulus;1956-06-27;;;;;;;;Meria Agustina;;;Akademi Tentara Nasional Indonesia;Manado, Sulawesi, Indonesia;Letnan Jenderal TNI (Purn.) H. Lodewijk Freidrich Paulus (lahir 27 Juni 1956) adalah seorang politikus Indonesia yang menjabat sebagai Wakil Ketua DPR RI periode 2021-2024 menggantikan Azis Syamsuddin yang tersangkut kasus korupsi dan ia sebelumnya merupakan mantan perwira tinggi militer Indonesia yang berasal dari TNI Angkatan Darat yang pernah menjabat Komandan Jenderal Komando Pasukan Khusus (Kopassus) ke-24 yang menjabat sejak 4 Desember 2009 menggantikan Pramono Edhie Wibowo. Ia sebagai Komandan Jenderal Komando Pasukan Khusus lalu digantikan oleh Wisnu Bawa Tenaya.;https://id.wikipedia.org/wiki/Lodewijk_Freidrich_Paulus;;Lodewijk Freidrich Paulus Golkar.jpg
Soerjadi Soerjadarma;1912-12-06;1975-08-16;Jakarta, Indonesia;Islam;;;;;Utami;"Awaniduhita Priyanti
Erlangga Suryadarma
Adityawarman Suryadarma";Tentara;KMA Breda;Banyuwangi, Hindia Belanda;Marsekal TNI (Purn.) Elang Soerjadi Soerjadarma (6 Desember 1912 – 16 Agustus 1975) adalah Panglima Angkatan Bersenjata Republik Indonesia dari 1959 hingga 1962 dan Kepala Staf TNI Angkatan Udara dari 1946 hingga 1962.;https://id.wikipedia.org/wiki/Soerjadi_Soerjadarma;;Suryadarma.jpg
Sutoyo Siswomiharjo;1922-08-28;1965-10-01;Lubang Buaya, Jakarta, Indonesia;;;;;;;"Letjen TNI Agus Widjojo
Nani Nurrachman";;;Kebumen, Keresidenan Kedu, Hindia Belanda;Mayor Jenderal TNI (Anumerta) Sutoyo Siswomiharjo (28 Agustus 1922 – 1 Oktober 1965) adalah seorang perwira tinggi TNI-AD yang diculik dan kemudian dibunuh dalam peristiwa Gerakan 30 September di Indonesia.;https://id.wikipedia.org/wiki/Sutoyo_Siswomiharjo;;Sutoyo.jpg
Robertus Sanyoto;1947-07-16;;;;;;;;Indri Robert;;;;Klaten, Jawa tengah;AKBP (Purn.) Robertus Sanyoto (lahir 16 Juli 1947) adalah Purnawirawan Polri, beliau terakhir berdinas di Pusdik Polair sejak pangkat beliau Letda Pol terhitung sejak tahun 1985 hingga pensiun tahun 2002, beliau terakhir menjadi panitia ujian Penembak di Pusdik Polair.;https://id.wikipedia.org/wiki/Robertus_Sanyoto;;R.Sanyoto.jpg
Nino Konis Santana;1957-01-12;1998-03-11;Ermera, Pendudukan Indonesia di Timor Timur;;;;José (Zé) Conisso António Santana;;;;;;Tutuala, Lautém, Timor Portugis;Nino Konis Santana (12 Januari 1957 – 11 Maret 1998) adalah komandan FALINTIL (Forças Armadas de Libertação Nacional de Timor Leste), gerakan perlawanan Timor-Leste semasa pendudukan Indonesia, sejak bulan 4 April 1993 hingga saat kematiannya.;https://id.wikipedia.org/wiki/Nino_Konis_Santana;;Naeboruc in Uma Uain Craic.jpg
Hoegeng Iman Santoso;1921-10-14;2004-07-14;Indonesia Jakarta, Indonesia;Islam;;;;;Meriyati Roeslani;;;;Hindia Belanda Pekalongan, Jawa Tengah, Hindia Belanda;Jenderal Polisi (Purn.) Drs. Hoegeng Iman Santoso (14 Oktober 1921 – 14 Juli 2004) adalah satu tokoh kepolisian Indonesia yang pernah menjabat sebagai Kepala Kepolisian Negara Republik Indonesia ke-5. Hoegeng terkenal sebagai polisi paling berani dan jujur di Indonesia oleh media dan masyarakat.;https://id.wikipedia.org/wiki/Hoegeng_Iman_Santoso;;Police chief Hugeng Iman Santoso, Sekilas Lintas Kepolisian Republik Indonesia, p20.jpg
Haryati Soebadio;1928-06-24;2007-04-30;Jakarta, Indonesia;Islam;;;;;Sunarto Soebadio;;;Universitas Indonesia;Jakarta, Indonesia;Prof. Haryati Soebadio (24 Juni 1928 – 30 April 2007) adalah Menteri Sosial pada Kabinet Pembangunan V pada masa pemerintahan Presiden Soeharto. Selain itu, alumni Fakultas Sastra Universitas Indonesia pernah menjabat sebagai Dekan Fakultas Sastra dan Dirjen Kebudayaan Kementerian Pendidikan dan Kebudayaan. Sebagai penulis, ia juga dikenal dengan nama pena Aryanti dan Amirati.;https://id.wikipedia.org/wiki/Haryati_Soebadio;;Haryati Soebadio - Minister of Social Affairs.jpg
Ida Bagus Mantra;1928-05-08;1995-07-10;Indonesia;Hindu;;;;;I Gusti Ayu Badri;"Ida Bagus Putra Diksotama Mantra
Ida Bagus Oka Udayana
Ida Bagus Gede Wira Wibawa Mantra
Ida Bagus Rai Dharmawijaya Mantra";;Universitas Visva-Bharati;Badung, Bali, Hindia Belanda;Prof. Dr. Ida Bagus Mantra (8 Mei 1928 – 10 Juli 1995) adalah Gubernur Bali periode 1978–1988. Ida Bagus Mantra digantikan Ida Bagus Oka sebagai gubernur Bali. Ia kemudian menjabat sebagai duta besar Indonesia untuk India. Ia juga pernah menjabat sebagai anggota DPR pada tahun 1968.;https://id.wikipedia.org/wiki/Ida_Bagus_Mantra;;Ida Bagus Mantra, Gubernur Bali.jpg
