article_title,honorific-prefix,name,honorific-suffix,image,smallimage,order,president,office,term_start,term_end,lieutenant,succeeding,predecessor,governor,successor,vicepresident,viceprimeminister,deputy,monarch,primeminister,taoiseach,chancellor,governor-general,order1,president1,office1,term_start1,term_end1,lieutenant1,succeeding1,predecessor1,governor1,successor1,vicepresident1,viceprimeminister1,deputy1,monarch1,primeminister1,taoiseach1,chancellor1,governor-general1,order2,office2,term_start2,term_end2,lieutenant2,succeeding2,predecessor2,president2,governor2,successor2,vicepresident2,viceprimeminister2,birthname,birth_date,birth_place,death_date,death_place,nationality,restingplace,restingplacecoordinates,party,otherparty,spouse,partner,relatives,children,parents,residence,alma_mater,occupation,allegiance,serviceyears,rank,branch,unit,battles,awards,laterwork,profession,signature,website,facebook,facebookpage,twitter,premier2,4namedata7,currentlyresides,honorific prefix,othername,relations,signature_size,order8,term_start3,term_start11,vicepresident6,primeminister6,predecessor7,term_label,office3,1namedata1,constituency1,order9,image_upright,networth,1blankname8,2,president11,2blankname7,body_discovered,military_data2,co-leader1,governor5,monuments,influences,criminal_charge,blank1,vicepresident5,education,Alma_mater,deathplace,parliamentarygroup,office5,term_end15,source,successor6,predecessor14,office6,military_blank4,alongside6,majority,constituency_MP4,notable,1blankname4,relation,alongside,vicepresident4,military_blank5,imagesi♫ze,term_start10,term_start5,placeofburial,filmfareawards,successor7,term_end11,1namedata7,termstart1,committees,portrayedby,imagesize,majority2,term_start6,module4,blank4,term_start12,resting_place_coordinates,termend1,constituency6,1,appointer2,birth_name,predecessor3,appointer,servicenumber,term_end8,order12,data5,monarch2,Commander4,president15,honorific_prefix,successor10,location,parliament3,1blankname1,deputy2,Term_start5,branch_label,order3,term_end9,president4,co-leader2,president8,predecessor15,Primeminister5,majority1,military_data1,parliamentarygroup1,parliament4,order4,successor12,succeeding4,native_name_lang,military_data3,president7,smallimage_alt,caption,predecessor6,alt,data1,commands,order5,successor11,term_end4,data4,3namedata7,1blankname6,governor3,year,alongside3,appointed,1blankname2,office14,4blankname7,term_end14,influenced,office12,predecessor11,profesion,military_data5,mother,mawards,1namedata6,battles_label,military_data4,years_active,office7,president6,constituency7,office4,date,term_start9,ambassador_from,command,predecessor9,parliamentarygroup2,2namedata7,1namedata5,successor9,term_end10,1namedata3,predecessor12,father,lieutenant8,1namedata2,prior_term,predecessor10,alongside5,term_start7,constituency8,term_end7,primeminister4,ethnicity,lieutenant3,successor13,military_blank2,family,majority3,deputy3,president9,data3,predecessor8,term_start15,deathdate,president5,death_cause,co-leader,order10,President5,native_name,religion,height,placeofburial_label,Succeeding5,office10,module2,1namedata8,citizenship,primeminister3,serviceyears_label,other_name,1blankname3,order14,president12,office11,term_end3,net_worth,governor_general,suboffice,constituency4,term_start8,resting_place,memorials,military_blank1,president3,salary,predecessor13,primeminister2,other_names,term_end13,honorific_suffix,nickname,constituency2,1namedata,successor3,blank3,criminal_penalty,3blankname7,subterm,1blankname7,placeofburial_coordinates,1blankname,blank5,constituency,constituency3,term_end6,term_end12,termstart3,module3,successor14,enteredservice,order7,primeminister5,order6,termstart2,term_start14,office9,successor4,vicepresident3,portfolio,constituency_MP3,image_size,module5,honorific suffix,successor8,lieutenant4,office8,predecessor5,term_label5,termend3,module,country,termend2,blank2,predecessor4,successor15,1blankname5,yearsactive,pronunciation,signature_alt,1namedata4,term_start13,state,term_start4,data2,office15,footnotes,rank_label,known_for,successor5,alongside2,succeeding5,succeeding3,term_end5,status,cabinet,Cicit,alongside4,military_blank3,summary,wikiurl,birth_date_cleaned,death_date_cleaned
Edie Toet Hendratno,,Edie Toet Hendratno,,Wakil Rektor Universitas Indonesia Edie Toet Hendratno.jpg,,,,,,,,,,,,,,,,,,,,,,Rektor Universitas Pancasila,28 Mei 2021,27 Februari 2024,,,Wahono Sumaryono,,Sri Widyastuti (pelaksana tugas),,,,,,,,,,,2004,17 Maret 2014,,,Subroto,,,Wahono Sumaryono,,,,1951 3 27,"Semarang, Jawa Tengah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,Wakil Rektor Universitas Indonesia(Kerjasama dan Infrastruktur),,,,,,,,,,,,,,,,,,,"Universitas Indonesia (S1 Hukum 1978, S2 Antropologi 1999)Universitas Gadjah Mada (S3 Hukum 2006)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kusmardiono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edie Toet Hendratno sebagai Wakil Rektor Universitas Indonesia (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,jabatan dibubarkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prof. Dr. Edie Toet Hendratno, S.H., M.Si. (lahir 27 Maret 1951) adalah seorang dosen dan administratur universitas. Ia tercatat pernah menjabat sebagai Wakil Rektor Universitas Indonesia dari 2002 hingga 2004 dan Rektor Universitas Pancasila dari tahun 2004 hingga 2014 dan dari 2021 hingga pemberhentiannya akibat kasus kekerasan seksual pada tahun 2024.",https://id.wikipedia.org/wiki/Edie_Toet_Hendratno,1951-03-27,
Emanuel Melkiades Laka Lena,,Emanuel Melkiades Laka Lena,,File:Anggota DPR Emanuel Melkiades Laka Lena.jpg,,,Joko Widodo,Anggota Dewan Perwakilan Rakyat Republik Indonesia,1 Oktober 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 12 10,"Kupang, Nusa Tenggara Timur",,,,,,Golkar,,Mindriyati Astiningsih,,,1,,,Universitas Sanata Dharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nusa Tenggara Timur II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Emanuel Melkiades Laka Lena (lahir 10 Desember 1976) adalah politikus Indonesia yang menjabat sebagai anggota DPR-RI periode 2019–2024. Ia mewakili daerah pemilihan Nusa Tenggara Timur II, yang meliputi Kabupaten Sumba Timur, Kabupaten Sumba Barat, Kabupaten Sumba Tengah, Kabupaten Sumba Barat Daya, Kabupaten Sabu Raijua, Kabupaten Timor Tengah Selatan, Kabupaten Timor Tengah Utara, Kabupaten Belu, Kabupaten Malaka, Kabupaten Kupang, Kabupaten Rote Ndao, dan Kota Kupang. Emanuel merupakan kader Partai Golongan Karya, ia duduk di Komisi IX dan dipercaya sebagai Wakil Ketua Komisi IX.",https://id.wikipedia.org/wiki/Emanuel_Melkiades_Laka_Lena,1976-12-10,
Muhammad Yusuf Asy'ari,,,,KIB Yusuf Ashari.jpg,,ke-5,Susilo Bambang Yudhoyono,Menteri Negara Perumahan Rakyat Indonesia,21 Oktober 2004,20 Oktober 2009,,,Theo L. Sambuaga,,Suharso Monoarfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945 10 21,"Magelang, Jawa Tengah, Indonesia",2019 11 14 1945 10 21,"Jakarta, Indonesia",Indonesia,,,PKS,,,,,,,,,,,,,,,,,,Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohammad Yusuf Asy'ari (21 Oktober 1945 – 14 November 2019) adalah politisi berkebangsaan Indonesia. Dia pernah menjadi Menteri Perumahan Rakyat pada Kabinet Indonesia Bersatu. Ia adalah lulusan S1 Akuntansi Universitas Gadjah Mada dan S2 Ilmu Administrasi di Universitas Muhammadiyah Jakarta. Sebelumnya ia pernah menjabat sebagai Direktur Keuangan RCTI dan anggota dari Partai Keadilan Sejahtera. Sewaktu ia muda dulu, ia aktif dalam dunia pergerakan kepemudaan sebagai aktivis Pelajar Islam Indonesia (PII).",https://id.wikipedia.org/wiki/Muhammad_Yusuf_Asy%27ari,1945-10-21,2019-11-14
Haris Sudarno,,Haris Sudarno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941 12 17,"Pati, Zaman Kedudukan Jepang",,,,,,,,,,,,,,Akademi Militer Nasional 1965,,Indonesia,,25px Mayor Jenderal TNI,25px TNI Angkatan Darat,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor Jenderal TNI (Purn.) Haris Sudarno (lahir 17 Desember 1941) adalah perwira tinggi TNI. dengan jabatan terahkir sebagai Panglima Kodam V/Brawijaya.Haris Sudarno, lulusan AMN 1965 ini berpengalaman dalam bidang Infanteri.",https://id.wikipedia.org/wiki/Haris_Sudarno,1941-12-17,
Sari Yuliati,Ir. Hj.,Sari Yuliati,M.T.,File:Anggota DPR Sari Yuliati.jpg,,,Joko Widodo,Anggota Dewan Perwakilan Rakyat Republik Indonesia,1 Oktober 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 6 2,"Jakarta, Indonesia",,,,,,Golkar,,Arie Wiryawan,,,2,,,Universitas Trisakti  Universitas Indonesia,Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nusa Tenggara Barat II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ir. Hj. Sari Yuliati, M.T. (lahir 2 Juni 1976) adalah politikus Indonesia yang menjabat sebagai anggota DPR-RI periode 2019–2024. Ia mewakili daerah pemilihan Nusa Tenggara Barat II, yang meliputi Kabupaten Lombok Barat, Kabupaten Lombok Tengah, Kabupaten Lombok Timur, Kabupaten Lombok Utara, dan Kota Mataram. Sari merupakan kader Partai Golongan Karya, ia duduk di Komisi III.",https://id.wikipedia.org/wiki/Sari_Yuliati,1976-06-02,
Kharis Suhud,Letnan Jenderal TNI (Purn.),,,Kharis suhud.jpg,,ke-7,,Ketua Majelis Permusyawaratan Rakyat Republik Indonesia,1 Oktober 1987,30 September 1992,,,Amir Machmud,,Wahono,,,,,,,,,ke-10,Soeharto,Ketua Dewan Perwakilan Rakyat Republik Indonesia,1 Oktober 1987,30 September 1992,,,Amir Machmud,,Wahono,Umar Wirahadikusumah (1983—1988) Sudharmono (1988—1993),,,,,,,,,Wakil Ketua Majelis Permusyawaratan Rakyat /Dewan Perwakilan Rakyat Republik Indonesia,1 Oktober 1982,1 Oktober 1987,,,,Soeharto,,,Umar Wirahadikusumah,,,1925 4 10,"Belanda Madiun, Jawa Timur, Hindia Belanda",2012 8 20 1925 4 10,"Indonesia Rumah Sakit Pusat Pertamina, Jakarta, Indonesia",,,,Golkar,,Sri Sukardi (w.1950),,,Sri Julianti Harry Santoso Eddy Sarosa Djoko Sanyoto,,,,,Indonesia,1945-1980,25px Letnan Jenderal TNI,25px TNI Angkatan Darat,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad Kharis Suhud,,,11919Lembaga Pemilihan Umum 1983 1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Komplikasi,,,,,,,,,,,,,,,,,,,,,,,,,,"Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letnan Jenderal TNI (Purn.) Mohammad Kharis Suhud (10 April 1925 – 20 Agustus 2012) adalah tokoh militer dan politikus Indonesia yang pernah menjabat sebagai Ketua MPR/DPR pada masa Orde Baru, dari tahun 1987 hingga 1992. Sebelumnya, pada 1982 hingga 1987 ia memimpin Fraksi ABRI. Pada tahun 1975—1978, ia menjabat sebagai Duta Besar Republik Indonesia untuk Thailand.",https://id.wikipedia.org/wiki/Kharis_Suhud,1925-04-10,2012-08-20
Maraden Panggabean,Jenderal TNI (Purn.),,,"Maraden Panggabean, Irian Barat dari Masa ke Masa, Preface.jpg",,ke-8,Soeharto,Daftar Ketua Dewan Pertimbangan AgungKetua Dewan Pertimbangan Agung Republik Indonesia,1983,1993,,,Idham Chalid,,Sudomo,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-1,"Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Republik IndonesiaMenteri Koordinator Bidang Politik dan Keamanan Republik Indonesia",29 Maret 1978,19 Maret 1983,,,Jabatan baru,,,Surono Reksodimedjo,,,,1922 6 29,"Pansur Napitu, Tarutung, Keresidenan Tapanuli",2000 5 28 1922 6 29,"Jakarta, Indonesia",,,,Golkar,,Meida Saimima Matiur br. Tambunan,,,,Marhusa Panggabean gelar Patuan Natoras (bapak) Katharina br. Panjaitan (ibu),,,Tentara,Indonesia,1945—1978,25px  Jenderal TNI,25px  TNI Angkatan Darat,Infanteri,Revolusi Nasional IndonesiaKonfrontasi Indonesia–MalaysiaInvasi Indonesia ke Timor Timur,,,,Signature of Maraden Panggabean.svg,,,,,,,,,,D.I. Panjaitan (abang ipar) Ruhut Sitompul (bere) Iskandar Sitompul (bere),,ke-3,28 Maret 1973,,,,Soeharto,,Panglima Tentara Nasional IndonesiaPanglima Angkatan Bersenjata Republik Indonesia,,,,,,,,,,,,,,,,,,,,,,,Wakil Panglima Tentara Nasional Indonesia  Wakil Panglima Angkatan Bersenjata Republik Indonesia,,,Soemitro,,Komando Operasi Pemulihan Keamanan dan KetertibanPanglima Komando Operasi Pemulihan Keamanan dan Ketertiban,,,,,,,,,,,,,9 September 1971,,,Umar Wirahadikusumah,,,,,,,,19 November 1969,,,,,,,,,Maraden Saur Halomoan Panggabean,Soeharto,,12150,29 Mei 1967,,,,,,,,,,,,,,ke-6,,,,,,,,,,,ke-14,,,,,,,Maraden Panggabean Tahun 1971,Soeharto,,,,ke-2,,29 Maret 1978,,,,,,,,,,,,,,,,,,,,,,,Kepala Staf TNI Angkatan Darat,,,Menteri Pertahanan Republik IndonesiaMenteri Pertahanan dan Keamanan Indonesia,,,,,,,,,,,,,,,,,,,1 Mei 1967,,25 November 1969,,,,,,,,,,,Gatot Soebroto,,,,,,,,,,,,,,,,,,,,,,,,17 April 1978,,,,,16 Agustus 1966,,,,,,,,,,,,,,M. Jusuf,,,,,,,,,,,9 September 1971,,,,,,ke-8,,ke-2,,,,M. Jusuf,,,,,,,Umar Wirahadikusumah,,Wakil Kepala Staf TNI Angkatan Darat,A. H. Nasution,,,,,,,Soeharto,,,,,,,,,9 September 1971,,,,,,Sumitro,,,,28 Maret 1973,,Kabinet Pembangunan I Kabinet Pembangunan II Kabinet Pembangunan III,,,,"Jenderal TNI (Purn.) Maraden Saur Halomoan Panggabean (29 Juni 1922 – 28 Mei 2000) adalah salah seorang tokoh militer Indonesia yang pernah menjadi Menteri Pertahanan dan Keamanan dalam Kabinet Pembangunan II serta Menteri Koordinator Politik dan Keamanan dalam Kabinet Pembangunan III. Selanjutnya pada tahun 1983—1988, Maraden menjabat Ketua Dewan Pertimbangan Agung (DPA).",https://id.wikipedia.org/wiki/Maraden_Panggabean,1922-06-29,2000-05-28
Linda Amalia Sari,,Linda Amalia Sari,,Linda Amalia Sari Gumelar.jpg,,ke-8,Susilo Bambang Yudhoyono,Menteri Negara Pemberdayaan Perempuan dan Perlindungan Anak Republik Indonesia,22 Oktober 2009,20 Oktober 2014,,,Meutia Hatta,,Yohana Yembise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951 11 15 y,"Indonesia Bandung, Jawa Barat, Indonesia",,,Indonesia,,,,,Agum Gumelar,,,Zeke KhaseliArmy Dianti,,,Universitas Terbukahttps://www.ut.ac.id/2015/berita/993-linda-amalia-sari-gumelar-dilantik-menjadi-ketua-umum-ika-ut,,,,,,,,,,"Akademisi, Pengusaha",,,,,,,,,,,Achmad Tahir (ayah)Rooslila Tahir (ibu)Taufik Hidayat (menantu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Negara Pemberdayaan Perempuan dan Perlindungan Anak Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Linda Amalia Sari, S.IP. (lahir 15 November 1951) adalah seorang tokoh wanita Indonesia. Dia menjabat sebagai Menteri Negara Pemberdayaan Perempuan dan Perlindungan Anak Republik Indonesia pada Kabinet Indonesia Bersatu II dan mantan ketua umum Kongres Wanita Indonesia (Kowani) periode 2004-2009.",https://id.wikipedia.org/wiki/Linda_Amalia_Sari,1951-11-15,
Achmad Sjaichu,Kiai Haji,,,"Achmad Sjaichu, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p217.jpg",,ke-5,Sukarno,Ketua Dewan Perwakilan Rakyat,17 Mei 1966,28 Oktober 1971,,,Mursalin Daeng Mamangung,,Idham Chalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wakil Ketua Dewan Perwakilan Rakyat Gotong Royong,13 November 1963,15 November 1965,,,Arudji Kartawinata,,,,,,,1921 6 29,,1995 1 4 1923 6 29,,,,,Nahdlatul Ulama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Februari 1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 Mei 1966,,,,,,,,,,,,,,,,,,,Ben Mang Reng Say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K.H. Achmad Sjaichu (29 Juni 1921 – 4 Januari 1995) adalah seorang tokoh agama dan politikus asal Indonesia. Ia adalah pendiri dan pengasuh Pesantren Al-Hamidiyah. Ia sempat menjabat sebagai ketua Dewan Perwakilan Rakyat Gotong Royong (DPRGR). Ia juga membangun institusi pendidikan dan lembaga Ittihadul Muballighin, tempat berhimpun para muballigh dan mengirimnya ke berbagai daerah.",https://id.wikipedia.org/wiki/Achmad_Sjaichu,1921-06-29,1995-01-04
Suhardiman,,Suhardiman,,Suhardiman.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924 12 16,"Surakarta, Jawa Tengah",2015 12 13 1924 12 16,Jakarta,,,,Golkar,,Sapartinah,,,,,,,,Indonesia,,25px Mayor Jenderal TNI,25px TNI Angkatan Darat,,Revolusi Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suhardiman, Pendiri Sentral Organisasi Karyawan Seluruh Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor Jenderal TNI (Purn.) Prof. Dr. Suhardiman, S.E. (16 Desember 1924 – 13 Desember 2015) adalah tokoh politik yang telah melewati 5 masa kepemimpinan Indonesia: zaman Hindia Belanda, zaman Jepang, presiden Soekarno, presiden Soeharto, dan masa reformasi. Suhardiman kerap disebut sebagai dukun politik karena intuisinya sangat kuat dalam memprediksi peristiwa politik terutama dalam konteks suksesi kepemimpinan dan merupakan pendiri partai Partai Golkar. Dia turut mewarnai perjalanan politik Indonesia bersama dengan SOKSI (Sentral Organisasi Karyawan Swadiri Indonesia), yang awalnya dia dirikan untuk membendung penyebaran paham komunisme oleh PKI. Dalam perjalanannya, SOKSI menjadi salah satu ormas yang melahirkan Partai Golkar dan menjadi tempat pengkaderan para pemimpin bangsa. Komentar dan pendapat Prof. Dr. Suhardiman kerap diminta sejumlah media terutama mengenai suksesi kepemimpinan di negeri ini karena intuisi politiknya sangat kuat dalam memprediksi calon-calon pemimpin masa depan.",https://id.wikipedia.org/wiki/Suhardiman,1924-12-16,2015-12-13
Muin Pusadan,Drs. H.,Abdul Muin Pusadan,,Abdul Muin Pusadan.png,,ke-11,B.J. Habibie Abdurrahman Wahid Megawati Soekarnoputri,Bupati Poso,1999,2004,,,Arief Patanga Haryono (Plt.),Bandjela Paliudju Aminuddin Ponulele,Andi Azikin Suyuti (Plt.) Piet Inkiriwang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945 8 12,"Bungku Tengah, Morowali",2007 5 20 1945 8 12,"Guangzhou, Republik Rakyat Tiongkok",,,,Golkar,,Ramlah Rauf,,,2,,,Universitas Tadulako,Pegawai Negeri Sipil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,Abdul Muin Pusadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drs. H. Abdul Muin Pusadan (12 Agustus 1945 – 20 Mei 2007), adalah seorang politikus asal Indonesia yang pernah menjabat sebagai Wakil Ketua DPRD Sulawesi Tengah dan juga Bupati Poso ke-11 sejak tahun 1999 hingga 2004. Ia adalah Bupati Poso selama Kerusuhan Poso yang terjadi pada tahun 1999 hingga 2002.",https://id.wikipedia.org/wiki/Muin_Pusadan,1945-08-12,2007-05-20
Iskandar Sitompul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957 6 22,"Kuta Raja, Aceh",,,,,,,,Irryanthy,,,2,Humala Sitompul (bapak) Surtani br. Panggabean (ibu),,Akademi Angkatan Laut (1980),Tentara,Indonesia,1980—2015,25px Laksamana Muda TNI,30px TNI Angkatan Laut,Korps Suplai,,,,,,,,,,,,,,,Maraden Panggabean (tulang) Ruhut Sitompul (abang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7758/P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristen Protestan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laksamana Muda TNI (Purn.) Iskandar Sitompul, S.E. (lahir 22 Juni 1957) adalah seorang Purnawirawan TNI-AL yang terakhir menjabat sebagai Staf Khusus Kasal.Iskandar, merupakan alumnus Akademi Angkatan Laut (AAL) angkatan ke-XXV/tahun 1980. Jabatan terakhir jenderal bintang dua ini adalah Deputi Bidang Koordinasi Pertahanan Negara Kemenko Polhukam RI.",https://id.wikipedia.org/wiki/Iskandar_Sitompul,1957-06-22,
