title,jenis_infobox,infobox
Cosmas Batubara,infobox officeholder,"{{Infobox Officeholder
|name               = {{PAGENAME}}
|image              = Cosmas Batubara - Fourth Development Cabinet.jpg
|imagesize          =
|caption            = 
|office             = Menteri Tenaga Kerja dan Transmigrasi Republik Indonesia{{!}}Menteri Tenaga Kerja Indonesia
|order              = ke-16
|president          = [[Soeharto]]
|term_start         = 21 Maret 1988
|term_end           = 17 Maret 1993
|predecessor        = [[Sudomo]]
|successor          = [[Abdul Latief (pengusaha)|Abdul Latief]]
|office2            = Menteri Negara Perumahan Rakyat Republik Indonesia{{!}}Menteri Negara Perumahan Rakyat Indonesia
|order2             = ke-1
|president2         = [[Soeharto]]
|term_start2        = 22 April 1978
|term_end2          = 21 Maret 1988
|predecessor2       = Tidak ada
|successor2         = [[Siswono Yudohusodo]]
|birth_date         = {{Birth date|1938|9|19|mf=y}}
|birth_place        =  [[Purba Saribu, Haranggaol Horison, Simalungun]], [[Sumatera Utara]], [[Hindia Belanda]]
|death_date         = {{Death date and age|2019|8|8|1938|9|19}}
|death_place        =  [[Jakarta]]
|nationality        = [[Indonesia]]
|party              = [[Partai Golkar]]
|spouse             = R.A. Cypriana Hadiwijono
|relations          = 
|children           = 
|alma_mater         = [[Universitas Indonesia]]
|occupation         = Komisaris [[Agung Podomoro]] dan [[Agung Sedayu Group]] <br> Rektor [[Podomoro University]] <br> Ketua Umum Yayasan Unika Santo Thomas Sumatera Utara
|profession         = [[Pengusaha]]
|religion           = [[Katolik]]
|signature          = 
|website            = 
|footnotes          = 
}}"
Mohammad Zamroni,kotak info pemegang jabatan,"{{Kotak info pemegang jabatan
|honorific prefix = [[Drs.]] [[Haji|H.]]
|name             = {{PAGENAME}}
|image            = Zamroni.jpg|jmpl|200px|Mohammad Zamroni
|office           = Ketua Umum Pergerakan Mahasiswa Islam Indonesia Pusat
|order            = Ke-2
|term_start       = [[1967]]
|term_end         = [[1973]]
|predecessor      = [[Mahbub Djunaidi]]
|successor        = [[Abduh Paddare]]
|birth_date       = {{Birth date|1935|08|10}}
|birth_place      = {{flagicon| Hindia Belanda}} [[Tanjungsari, Sumedang]], [[Jawa Barat]]
|death_date       = {{death date and age|1996|02|05|1935|08|10}}
|death_place      = {{flagicon| Indonesia}} [[Rumah Sakit Umum Pusat Fatmawati|RS Fatmawati]], [[Jakarta Selatan]] ,[[Indonesia]]
|resting_place    = [[Taman Pemakaman Umum Tanah Kusir|TPU Tanah Kusir]] 
}}"
Anugerah Musik Indonesia 1997,infobox award,"{{Infobox award
| name = Anugerah Musik Indonesia 1997
| image = 
| image_size =
| description = 
| date   = 29 November 1997
| country = [[Indonesia]]
| host = 
| preshow_host = 
| location = Teater [[Taman Ismail Marzuki]], [[Jakarta Pusat]]
| network = [[Indosiar]] 
| runtime = 180 menit
| website = {{url|ami-awards.com}}
| producer = Yayasan Anugerah Musik Indonesia
| most_awards = {{Hlist|[[Andre Hehanusa]]|[[Dewa 19]]|[[Slank]] (3)}}
| most_nominations = 
| award1_type = Pencipta Lagu Terbaik-Terbaik
| award1_winner = ""[[Pandawa Lima|Kirana]]"" – [[Ahmad Dhani]] & [[Erwin Prasetya]]
| award2_type = Album Terbaik-Terbaik
| award2_winner = ''[[Pandawa Lima]]'' – [[Dewa 19]]
| award3_type = Pendatang Baru Terbaik-Terbaik
| award3_winner = Uchie Wiby
| award4_type = 
| award4_winner = 
| award5_type = 
| award5_winner =
| previous = 
| main = [[Anugerah Musik Indonesia]]
| next = [[Anugerah Musik Indonesia 1998|1998]] 
}}"
Endang Kusuma Inten Soeweno,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = Endang Kusuma Inten Soeweno
|image            = Sixth Development Cabinet Poster (Endang Kusuma Inten Soeweno).jpg
|imagesize        = 
|caption          = 
|office           = Menteri Sosial Indonesia
|order            = ke-22
|president        = [[Soeharto]]
|term_start       = 17 Maret 1993
|term_end         = 14 Maret 1998
|predecessor      = [[Haryati Soebadio]]
|successor        = [[Siti Hardijanti Rukmana]]
|birth_date       = {{birth date and age|1944|2|2}}
|birth_place      = [[Tulungagung]], [[Jawa Timur]], [[Hindia Belanda]] 
|death_date       = 
|death_place      = 
|nationality      = [[Indonesia]]
|party            = {{Parpolicon|Golkar}}
|relations        = [[H. Koesen Hirohoesodo|Brigjen TNI (Purn.) dr. H. Koesen Hirohoesodo]] (Ayah)
|spouse           = [[Soeweno|Letjen TNI (Purn.) Soeweno]]
|children         = 
|residence        = 
|alma_mater       = 
|occupation       = Politisi
|religion         = [[Islam]]
}}"
Banjir Jakarta 1996,,
Bernardus Sugiarta Muljana,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = Bernardus Sugiharta Muljana
|image            = Bernardus Sugiarta Muljana - Fifth Development Cabinet.jpg
|imagesize        = 200px
|caption          = 
|office           = Daftar Wakil Menteri Perencanaan Pembangunan Nasional Indonesia {{!}} Menteri Muda Perencanaan Pembangunan Nasional
|order            = ke-1
|president        = [[Soeharto]]
|term_start       = 23 Maret 1988
|term_end         = 11 Maret 1993
|predecessor      = ''tidak ada, jabatan baru''
|successor        = [[Lukita Dinarsyah Tuwo]]
|birth_date       = {{birth date|1931|3|3}}
|birth_place      = [[Yogyakarta]], [[DI Yogyakarta]], [[Hindia Belanda]] 
|death_date       = {{death date and age|2014|9|15|1931|3|3}}
|death_place      = [[Jakarta]], [[DKI Jakarta]], [[Indonesia]] 
|nationality      = [[Indonesia]]
|party            = 
|spouse           = 
|children         = 
|residence        = 
|alma_mater       = [[Universitas Indonesia]]
|occupation       = 
|religion         = [[Katolik]]
}}"
Kejatuhan Soeharto,infobox civil conflict,"{{Infobox civil conflict
 | title             = Kejatuhan Soeharto
 | partof            = [[Reformasi Indonesia (1998–sekarang)|Reformasi Indonesia]]
 | image             = {{multiple image
 | border                 = infobox
 | total_width            = 300
 | image_style            = border:1;
 | perrow                 = 1/1/2
 | image1                 = Suharto resigns.jpg
 | image2                 = Jakarta riot 14 May 1998.jpg
 | image3                 = May 1998 Trisakti incident.jpg
 | image4                 = November 1998 Semanggi demonstrations.jpg
}} Searah jarum jam, dari atas: {{flatlist|
* [[Presiden Indonesia]] [[Soeharto]] menyampaikan [[pengunduran diri]] dari jabatannya
* Para perusuh membakar perabot kantor di jalan-jalan [[Jakarta]]
* Mahasiswa memprotes pemerintah
* Mahasiswa [[Universitas Trisakti]] dan polisi pada [[Tragedi Trisakti|bentrok]]
}}
 | date              = 4–21 Mei 1998
 | place             = [[Indonesia]]
 | causes            =
 | result            = Kejatuhan [[Orde Baru (Indonesia)|Orde Baru]]
* Presiden Soeharto mengundurkan diri
* Peresmian [[B.J. Habibie]] sebagai presiden
* Pembentukan [[Kabinet Reformasi Pembangunan]]
* [[Referendum kemerdekaan Timor Leste 1999|Referendum kemerdekaan]] untuk [[Timor Timur]] pada 30 Agustus 1999
 | leadfigures1      = {{flagicon|Indonesia}} [[Soeharto]]<br />{{nowrap|{{flagicon|Indonesia}} [[Feisal Tanjung]]}}<br />{{nowrap|{{flagicon|Indonesia}} [[Prabowo Subianto]]}}<br />{{flagicon|Indonesia}} [[Wiranto]]<br />''Berbagai politisi dan jenderal lainnya''
 | leadfigures2      = {{flagicon|Indonesia}} [[Amien Rais]]<br />{{nowrap|{{flagicon|Indonesia}} [[Megawati Soekarnoputri]]}}<br />{{flagicon|Indonesia}} [[Harmoko]]<br />''Berbagai pemimpin mahasiswa dan politisi oposisi lainnya''
}}"
Proyek lahan gambut satu juta hektar,,
Krisis Selat Sunda,infobox konflik,"{{Infobox Konflik
| campaignbox = {{Kotak kampanye konfrontasi Indonesia–Malaysia}}
| conflict = Krisis Selat Sunda
| partof = [[konfrontasi Indonesia-Malaysia]]|image=[[Berkas:Sunda Strait map-fr.svg|300px]]|caption=Selat Sunda yang memisahkan Jawa dan Sumatra adalah pusat krisis.|date=27 Agustus – 10 September 1964|place=[[Selat Sunda]], [[Indonesia]]|result=Keberhasilan Dua Belah Pihak dalam Menghindari Konflik|combatant1={{flag|Malaysia}}|combatant2={{flag|Indonesia}}|commander1= {{unbulleted list|{{flagicon|Malaysia}} [[Tunku Abdul Rahman]]}}|commander2= {{unbulleted list|{{flagicon|Indonesia}} [[Sukarno|Soekarno]]| {{flagicon|Indonesia}} [[Subandrio|Soebandrio]]| {{flagicon|Indonesia}} [[Suwito]]}}|strength1=1 kapal induk <br> <nowiki> </nowiki>2 penghancur|strength2=Kekuatan hampir penuh [[Indonesian Air Force|Angkatan Udara Indonesia]]<br> Sejumlah kapal selam dan kapal permukaan ringan|casualties1=0|casualties2=0}}"
Temuan Wonoboyo,infobox artifact,"{{Infobox artifact
| name          = Temuan Wonoboyo
| image         = [[Berkas:Wonoboyo Hoard.jpg|360px]]
| image_caption = Replika temuan Wonoboyo, temuan artefak emas dan perak, dipamerkan di Museum [[Prambanan]]. Temuan Wonoboyo asli disimpan di [[Museum Nasional Indonesia]], [[Jakarta]].
| material      = Emas dan perak 
| size          = 
| writing       =
| created       = Abad ke-8 sampai ke-9 Masehi
| discovered    = 
| location      = [[Museum Nasional Indonesia]], [[Jakarta]]
| id            = 
| registration = 
}}"
Indonesia dalam tahun 1989,,
Festival Istiqlal,,
Pendidikan Moral Pancasila,,
Perjanjian Celah Timor,,
Badan Kependudukan dan Keluarga Berencana Nasional,infobox lembaga nonkementerian,"{{Infobox lembaga nonkementerian
|nama             = Badan Kependudukan dan Keluarga Berencana Nasional
|singkatan        = BKKBN
|gambar           = [[Berkas:Logo BKKBN (2020).png|250px]]
|didirikan        = {{Start date|1970|01|30}}
|nomenklatur_sebelumnya = Badan Koordinasi Keluarga Berencana Nasional
|nomenklatur_pengganti  = <!-- nama kementerian yang menggantikan -->
|dasar            = Peraturan Presiden Nomor 62 Tahun 2010
|slogan           = Dua Anak Lebih Sehat (primer)<br/>Berencana itu Keren (sekunder)
|pegawai          = 
|anggaran         = 
|koordinasi       = [[Daftar Menteri Kesehatan Indonesia|Menteri Kesehatan]]
|kepala           = [[Daftar Badan Kependudukan dan Keluarga Berencana Nasional|Kepala]]
|nama_kepala      = Dr.(HC). dr. [[Hasto Wardoyo]], Sp.OG.
|wakil_kepala     =
|nama_wakil_kepala=
|sekretaris_utama = Drs. Tavip Agus Rayanto, M.Si.
|deputi1          = [[Deputi Bidang Advokasi, Penggerakan dan Informasi]]
|nama_deputi1     = Sukaryo Teguh Santoso, M.Pd
|deputi2          = [[Deputi Bidang Keluarga Sejahtera dan Pemberdayaan Keluarga]]
|nama_deputi2     = Nopian Andusti, SE, MT.
|deputi3          = [[Deputi Keluarga Berencana dan Kesehatan Reproduksi]]
|nama_deputi3     = dr. Eni Gustina, MPH.
|deputi4          = [[Deputi Bidang Pengendalian Penduduk]]
|nama_deputi4     = Dr. Bonivasius Prasetya Ichtiarto, S.Si, M.Eng.
|deputi5          = [[Deputi Bidang Pelatihan, Penelitian dan Pengembangan]]
|nama_deputi5     = Prof. drh. Muhammad Rizal Martua Damanik, MRepSc, Ph.D.
|deputi6          = 
|nama_deputi6     = 
|deputi7          =
|nama_deputi7     = 
|deputi8          = 
|nama_deputi8     =
|deputi9          =
|nama_deputi9     =
|deputi10         =
|nama_deputi10    =
|inspektur        = Inspektur Utama
|nama_inspektur   = Ari Dwikora Tono, Ak, M.Ec.Dev.
|alamat           = Jalan Permata No. 1, Kompleks Bandara Halim Perdanakusuma<br>[[Jakarta Timur]]<br>[[DKI Jakarta]], [[Indonesia]]
|situs web        = http://www.bkkbn.go.id ; fb, twitter, Ig    = @Bkkbnofficial
}}"
Indonesia dalam tahun 1969,,
Penembakan misterius,,
Peristiwa Talangsari 1989,,
Maraden Panggabean,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = [[Jenderal]] [[TNI]] [[Purnawirawan|(Purn.)]]
| name                = {{PAGENAME}}
| image               = Maraden Panggabean, Irian Barat dari Masa ke Masa, Preface.jpg
| caption             = Maraden Panggabean Tahun 1971
| office              = Daftar Ketua Dewan Pertimbangan Agung{{!}}Ketua Dewan Pertimbangan Agung Republik Indonesia
| order               = ke-8
| term_start          = 1983
| term_end            = 1993
| succeeding          = 
| president           = [[Soeharto]]
| predecessor         = [[Idham Chalid]]
| successor           = [[Sudomo]]
| office2             = Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Republik Indonesia{{!}}Menteri Koordinator Bidang Politik dan Keamanan Republik Indonesia
| order2              = ke-1
| term_start2         = 29 Maret 1978
| term_end2           = 19 Maret 1983
| predecessor2        = ''Jabatan baru''
| successor2          = [[Surono Reksodimedjo]]
| office3             = Panglima Tentara Nasional Indonesia{{!}}Panglima Angkatan Bersenjata Republik Indonesia
| order3              = ke-6
| term_start3         = 28 Maret 1973
| term_end3           = 17 April 1978
| predecessor3        = [[Soeharto]]
| successor3          = [[M. Jusuf]]
| office4             = Menteri Pertahanan Republik Indonesia{{!}}Menteri Pertahanan dan Keamanan Indonesia
| order4              = ke-14
| term_start4         = 9 September 1971
| term_end4           = 29 Maret 1978
| predecessor4        = [[Soeharto]]
| successor4          = [[M. Jusuf]]
| office5             = Wakil Panglima Tentara Nasional Indonesia {{!}} Wakil Panglima Angkatan Bersenjata Republik Indonesia
| order5              = ke-2
| term_start5         = 9 September 1971
| term_end5           = 28 Maret 1973
| predecessor5        = [[A. H. Nasution]]
| successor5          = [[Sumitro]]
| office6             = Komando Operasi Pemulihan Keamanan dan Ketertiban{{!}}Panglima Komando Operasi Pemulihan Keamanan dan Ketertiban
| order6              = ke-2
| term_start6         = 19 November 1969
| term_end6           = 9 September 1971
| predecessor6        = [[Soeharto]]
| successor6          = [[Soemitro]]
| office7             = Kepala Staf TNI Angkatan Darat
| order7              = ke-8
| term_start7         = 1 Mei 1967
| term_end7           = 25 November 1969
| predecessor7        = [[Soeharto]]
| successor7          = [[Umar Wirahadikusumah]]
| office8             = Wakil Kepala Staf TNI Angkatan Darat
| order8              = ke-3
| term_start8         = 16 Agustus 1966
| term_end8           = 29 Mei 1967
| predecessor8        = [[Gatot Soebroto]]
| successor8          = [[Umar Wirahadikusumah]]
| birth_name          = Maraden Saur Halomoan Panggabean
| birth_date          = {{birth date |1922|6|29}}
| birth_place         = [[Pansur Napitu, Siatas Barita, Tapanuli Utara|Pansur Napitu]], [[Siatas Barita, Tapanuli Utara|Tarutung]], [[Keresidenan Tapanuli]]
| death_date          = {{death date and age|2000|5|28|1922|6|29}}
| death_place         = [[Jakarta]], [[Indonesia]]
| party               = {{parpolicon|Golkar}}
| spouse              = Meida Saimima Matiur br. Tambunan
| children            = 
| residence           = 
| alma_mater          = 
| occupation          = [[Tentara]]
| cabinet             = {{bulleted list|[[Kabinet Pembangunan I]]|[[Kabinet Pembangunan II]]|[[Kabinet Pembangunan III]]}}
| nickname            = 
| signature           = Signature of Maraden Panggabean.svg
| allegiance          = {{flag|Indonesia}}
| branch              = [[Berkas:Insignia of the Indonesian Army.svg|25px]] <br> [[Tentara Nasional Indonesia Angkatan Darat|TNI Angkatan Darat]]
| serviceyears        = 1945—1978
| servicenumber       = 12150
| rank                = [[File:22-TNI Army-GEN.svg|25px]] <br> [[Jenderal]] [[Tentara Nasional Indonesia|TNI]]
| unit                = [[Infanteri]]
| battles             = [[Revolusi Nasional Indonesia]]{{br}}[[Konfrontasi Indonesia–Malaysia]]{{br}}[[Invasi Indonesia ke Timor Timur]]
| parents             = {{ubl|Marhusa Panggabean gelar Patuan Natoras (bapak)|Katharina br. Panjaitan (ibu)}}
| relations           = {{bulleted list|[[D.I. Panjaitan]] ([[Partuturan Batak Toba#Pariban / Poriban|abang ipar]])|[[Ruhut Sitompul]] ([[Partuturan Batak Toba#Bere|''bere'']])|[[Iskandar Sitompul]] ([[Partuturan Batak Toba#Bere|''bere'']])}}
}}"
R. Hartono,infobox officeholder,"{{Infobox Officeholder
|name = {{PAGENAME}}
|image = Jenderal TNI R. Hartono.png
|imagesize =
|caption = 
|office = Daftar Menteri Dalam Negeri Indonesia{{!}}Menteri Dalam Negeri Indonesia
|order = ke-21
|term_start = [[16 Maret]] [[1998]]
|term_end = [[21 Mei]] [[1998]]
|president = [[Soeharto]]
|predecessor = [[Yogie Suardi Memet]]
|successor = [[Syarwan Hamid]] 
|office2 = Daftar Menteri Penerangan Indonesia{{!}}Menteri Penerangan Indonesia
|order2 = ke-23
|term_start2 = [[17 Maret]] [[1997]]
|term_end2 = [[16 Maret]] [[1998]]
|president2 = [[Soeharto]]
|predecessor2 = [[Harmoko]]
|successor2 = [[Alwi Dahlan]]
|office3 = Kepala Staf TNI Angkatan Darat
|order3 = ke-18
|term_start3 = [[13 Februari]] [[1995]]
|term_end3 = [[13 Juni]] [[1997]]
|predecessor3 = [[Wismoyo Arismunandar]]
|successor3 = [[Wiranto]] 
|office4 = Gubernur Lemhannas  
|order4 = ke-8
|term_start4 = 1993
|term_end4 = 1994
|predecessor4 = [[Soekarto]]
|successor4 = [[Moetojib]]
|birth_date = {{birth date and age|1941|6|10}}
|birth_place =  [[Pamekasan]], [[Pulau Madura|Madura]], [[Hindia Belanda]]
|death_date = 
|death_place = 
|nationality = [[Indonesia]]
|party = [[Partai Karya Peduli Bangsa]]
|spouse = Oetari
|relations = R. Osman Prawiro Asmoro (Bapak)<br>R.A. Soekarni (Ibu)
|children = 1. Himawan Sukmadianto 16-10-1964<br>2. Rudy Chandra Satriawan 12-11-1968<br>3. Torry Widyantoro 26-09-1971/ 2003 (Alm)<br>4. Yudha Bramantia 18-01-1973
|alma_mater = [[Akmil|Akademi Militer Nasional]] (1962)
|occupation = 
|profession = [[TNI]] <br/> [[Politisi]]
|allegiance      = {{flag|Indonesia}}
|branch          = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|serviceyears = 1962—1997
|servicenumber = 19067
|rank = [[File:22-TNI Army-GEN.svg|25px]] [[Jenderal]] [[TNI]]
|unit = [[Kavaleri]]
|signature = 
|website = 
|footnotes = }}"
Pengeboman Borobudur 1985,infobox terrorist attack,"{{Infobox terrorist attack
|title=Bom Candi Borobudur 1985
|image=Borobudur Bombing 1985.jpg
|caption=Kerusakan pada beberapa stupa di teras atas Borobudur akibat serangan teroris Bom Borobudur pada 21 Januari 1985.<ref name=""kompas"">{{cite web|archiveurl=http://id.wikipedia.org/wiki/Berkas:Kompas-22_Januari_1985-sample.jpg |publisher=KOMPAS |title=Sembilan Stupa Borobudur Diledakkan Senin Dini Hari|date=1985-01-22 |archivedate=2010-06-06}}</ref>
|location= {{negara|Indonesia}} [[Candi Borobudur]], [[Magelang]], [[Indonesia]]
|target=[[Candi Borobudur]]
|date= [[21 Januari]] [[1985]] <ref name=""kompas""/>
|time-begin=
|time-end=
|timezone=[[UTC]]+7
|type= [[Pemboman]], [[Propaganda dengan perbuatan]]
|fatalities=
|injuries=
|perps= [[Mohammad Jawad]] alias ""Ibrahim"" alias ""Kresna"" (perencana)<br /> [[Abdulkadir Ali Alhabsyi]] (pelaku)<br /> [[Husein Ali Alhabsyi]] (pelaku) <ref name=""tempo"">[http://majalah.tempointeraktif.com/id/arsip/1999/05/17/INT/mbm.19990517.INT94985.id.html ""Bom Borobudur, 16 Tahun Kemudian""] {{Webarchive|url=https://web.archive.org/web/20100803011430/http://majalah.tempointeraktif.com/id/arsip/1999/05/17/INT/mbm.19990517.INT94985.id.html |date=2010-08-03 }} - Tempo Online, 17 Mei 1999. Diakses 11 Mei 2010.</ref>
|lat_dir= S
|lat_deg = 7
|lat_min = 36
|lat_sec = 28
|lon_deg = 110
|lon_min = 12
|lon_sec = 13
|label=[[Magelang]]
|labelposition=bottom
|mapname= Indonesia
}}"
Soemitro,infobox officeholder,"{{Infobox Officeholder 
|name = Soemitro
|image = Soemitro, Riwayat Hidup Anggota-Anggota Majelis Permusyawaratan Rakyat Hasil Pemilihan Umum 1971, p1010.jpg
|caption = Jenderal Soemitro
|birth_date = {{birth date|1927|1|13}}
|birth_place =  [[Probolinggo]], [[Jawa Timur]]
|death_date = {{death date and age|1998|5|10|1927|1|13}}
|death_place =  [[Jakarta]]
|1blankname       = Panglima
|1namedata        = [[Soeharto]]<br />[[Maraden Panggabean]]
|office           = Wakil Panglima Tentara Nasional Indonesia{{!}}Wakil Panglima Angkatan Bersenjata Republik Indonesia
|order            = ke–3
|term_start       = 9 September 1971
|term_end         = 2 Maret 1974
|predecessor      = [[Maraden Panggabean]]
|successor        = [[Surono Reksodimedjo]]
|president        = [[Soeharto]]
|office1        = Komando Operasi Pemulihan Keamanan dan Ketertiban {{!}}Panglima Komando Keamanan dan Ketertiban
|order1       = ke-3
|term_start1  = 9 September 1971
|term_end1   = 2 Maret 1974
|president1   = [[Soeharto]]
|vicepresident1 = [[Hamengkubuwono IX]]
|predecessor1 =  [[Maraden Panggabean]]
|successor1   = [[Soeharto|Jenderal TNI (Purn.) Soeharto]]
|allegiance       = {{bulleted list|{{flag|Kekaisaran Jepang}} (1943—1945)|[[Indonesia]] (1945—1974)}}
|serviceyears     = 1943—1974
|rank             = [[File:22-TNI Army-GEN.svg|25px| ]] [[Jenderal]] [[TNI]]
|branch           = {{bulleted list|{{flagicon image|Flag of PETA (Pembela Tanah Air).svg}} [[Pembela Tanah Air|PETA]] (1943—1945)|{{flagicon image|Flag of the Indonesian Army.svg}} [[TNI Angkatan Darat]] (1945—1974)}}
|battles          = [[Revolusi Nasional Indonesia]]
|battles_label    =
|awards           =
|party            = 
|spouse           = 
|parents          = 
|children         = 
|residence        = 
|alma_mater       = 
|occupation       = Tentara 
|religion         = 
}}"
Daftar gempa bumi di Indonesia,infobox,"{{Infobox
| title = Gempa bumi di Indonesia 
| image = [[File:Map of earthquakes in Indonesia 1900-2019.svg]]
| caption = Gempa bumi di Indonesia dari tahun 1900–2019
| label1 = Terbesar
| data1 = {{M|w|9.1|link=y}} [[Gempa bumi dan tsunami Samudra Hindia 2004|Gempa bumi Samudra Hindia 2004]]
| label2 = Paling Mematikan 
| data2 = {{M|w|9.1|link=y}} [[Gempa bumi dan tsunami Samudra Hindia 2004|Gempa bumi Samudra Hindia 2004]] 227,898 tewas
}}"
Indonesia dalam tahun 1981,,
Theo L. Sambuaga,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name = Theo Leo Sambuaga
|image = Theo_sambuaga.jpg
|imagesize =
|caption = 
|office = Daftar Menteri Perumahan Rakyat Indonesia{{!}}Menteri Negara Perumahan Rakyat dan Permukiman 
|order = ke-4
|president = [[Bacharuddin Jusuf Habibie]]
|term_start = 23 Mei 1998
|term_end = 27 September 1999
|predecessor = [[Akbar Tanjung]]<br><small>sebagai Menteri Negara Perumahan Rakyat dan Permukiman</small>
|successor = [[Muhammad Yusuf Asy'ari]]<br><small>sebagai Menteri Negara Perumahan Rakyat (2004)</small>
|office2 = Daftar Menteri Tenaga Kerja dan Transmigrasi Indonesia{{!}}Menteri Tenaga Kerja Indonesia
|order2 = ke-19 
|president2 = [[Soeharto]]
|vicepresident2 = [[Bacharuddin Jusuf Habibie]]
|term_start2 = 14 Maret 1998
|term_end2 = 21 Mei 1998
|predecessor2 = [[Abdul Latief (pengusaha)|Abdul Latief]]
|successor2 = [[Fahmi Idris]]
|birth_name = Theo L. Sambuaga
|birth_date = {{Birth date and age|1949|6|6|mf=y}}
|birth_place = [[Kota Manado|Manado]], [[Sulawesi Utara]], [[Indonesia]]
|death_date = 
|death_place = 
|nationality = [[Indonesia]]
|party = {{Parpolicon|Golkar}}
|spouse = Erna Sambuaga
|relations = [[Soekardi|R. Soekardi]] (mertua)
|children = Eddy Khrisna Patria Sambuaga{{br}}[[Jerry Sambuaga|Jerry Adithya Ksatria Sambuaga]]
|alma_mater = 
|occupation = [[Politikus]]
|profession = 
|cabinet = [[Kabinet Pembangunan VII]]{{br}}[[Kabinet Reformasi Pembangunan]]
|religion = [[Kristen Protestan]]
|signature = 
|website = 
|footnotes = 
}}"
Mohammad Natsir,infobox officeholder,"{{Infobox Officeholder
|name         = Mohammad Natsir
|image        = Mohammad Natsir 1950s.jpg
|image_size   = 
|office       = Perdana Menteri Indonesia
|order        = ke-5
|term_start   = [[5 September]] [[1950]]<ref>Feith, Herbert. The Decline of Constitutional Democracy in Indonesia. hal 150.</ref>
|term_end     = [[26 April]] [[1951]]<ref>Feith, Herbert. The Decline of Constitutional Democracy in Indonesia. hal 168.</ref>
|president    = [[Soekarno]]
|predecessor  = [[Abdoel Halim]] 
|successor    = [[Sukiman Wirjosandjojo]]
|office2      = Menteri Penerangan Indonesia
|order2       = ke-2
|term_start2  = 12 Maret 1946
|term_end2    = 26 Juni 1947
|president2   = [[Soekarno]]
|predecessor2 = [[Amir Sjarifuddin]] 
|successor2   = [[Setiadi Reksoprodjo]]
|term_start3  = 29 Januari 1948
|term_end3    = 4 Agustus 1949
|president3   = [[Soekarno]]
|predecessor3 = [[Sjahbudin Latif]] 
|successor3   = [[Syafruddin Prawiranegara]]
|birth_date   = {{birth date|1908|7|17}}
|birth_place  = [[Alahan Panjang, Lembah Gumanti, Solok]], [[Sumatera Barat]], [[Hindia Belanda]]
|death_date   = {{death date and age|1993|2|6|1908|7|17}}
|death_place  = [[Daerah Khusus Ibukota Jakarta|Jakarta]], [[Indonesia]] 
|nationality  = [[Indonesia]]
|party        = {{Parpolicon|Masyumi}} ([[Partai Masyumi (1945)|Masyumi]])
|spouse       = {{marriage|Nurnahar|1934|1991|reason=died}}
|children     = <!-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -->6
|profession   = [[Politikus]] 
|signature    = 
}}"
Tragedi Peudada,,
KMI Wire and Cable,infobox company,"{{Infobox Company
| company_name   = PT KMI Wire and Cable Tbk
| company_logo   = 
| company_type   = [[Perusahaan publik|Publik]] 
| traded_as      = {{BEI|KBLI}}
| company_slogan = |
  foundation     = [[19 Januari]] [[1972]] |
  location       = [[Jakarta]], [[Indonesia]]|
  key_people     = Herman Nursalim, [[Direktur utama]]|
  products       = [[kabel]]|
  industry       = [[manufaktur]]|
  revenue        = {{profit}} [[Rupiah Indonesia|Rp]] 4.239 Triliun (FY 2018)|
  net_income     = {{down}} [[Rupiah Indonesia|Rp]] 235.651 Miliar (FY 2018)|
  assets         = {{profit}} [[Rupiah Indonesia|Rp]] 3.244 Triliun (FY 2018)|
  equity         = {{profit}} [[Rupiah Indonesia|Rp]] 2.030 Triliun (FY 2018)|
  num_employees  = 574 (2021)<ref name=laporan/> |
  subsid         = PT Langgeng Bajapratama<br>PT KMI Electronic Solution<ref name=laporan>[http://kmi.id/public/images/Annual%20Report%20KMI%202021.pdf Laporan Tahunan KBLI, 2021]</ref>|
  homepage       = [http://www.kmiwire.com/ kmiwire.com] |Kabel-und Metalwerke Guetehoffnungshuette AG
}}"
Templat:Bencana di Indonesia tahun 1960-an,,
Laksaur,,
Balibo Five,,
