article_title,honorific-prefix,name,image,caption,office,order,term_start,term_end,president,predecessor,successor,office2,order2,term_start2,term_end2,president2,predecessor2,successor2,office3,order3,term_start3,term_end3,president3,predecessor3,successor3,term_start4,term_end4,president4,predecessor4,successor4,office5,order5,term_start5,term_end5,president5,predecessor5,successor5,term_start6,term_end6,president6,predecessor6,successor6,office7,order7,term_start7,term_end7,president7,1blankname7,1namedata7,predecessor7,successor7,birth_date,birth_place,death_date,death_place,nationality,party,spouse,children,profession,religion,signature,nickname,allegiance,branch,serviceyears,rank,commands,unit,battles,awards,relations,laterwork,order6,1blankname,military_blank4,termend1,termend3,order9,taoiseach,blank3,vicepresident1,net_worth,1namedata3,constituency3,governor-general,premier2,memorials,twitter,ambassador_from,constituency,other_name,successor10,1blankname2,height,1blankname6,command,chancellor,primeminister4,image_upright,data4,alt,citizenship,placeofburial_coordinates,residence,succeeding3,office4,father,term_start10,restingplacecoordinates,2,salary,office6,blank5,successor1,term_end8,succeeding,term_label5,module5,enteredservice,military_data5,birth_name,vicepresident2,term_label,4blankname7,viceprimeminister,governor_general,other_names,governor1,co-leader2,3namedata7,blank2,governor,image_size,module4,portrayedby,primeminister2,lieutenant2,website,vicepresident5,successor8,appointer,country,1blankname3,cabinet,successor9,termstart2,2blankname7,relatives,data3,native_name,module3,primeminister,term_start1,termend2,office10,1namedata1,alongside6,lieutenant8,data5,term_end10,footnotes,constituency2,Cicit,alongside5,honorific_prefix,military_blank1,1namedata6,order4,otherparty,known_for,term_start8,office1,honorific-suffix,death_cause,committees,1blankname1,term_end9,facebook,smallimage_alt,term_start9,resting_place_coordinates,alongside2,primeminister5,pronunciation,predecessor9,data1,order1,4namedata7,servicenumber,lieutenant,military_data3,resting_place,native_name_lang,module,predecessor8,military_blank3,occupation,constituency7,succeeding2,alongside3,appointed,succeeding1,placeofburial,constituency6,ethnicity,module2,military_blank5,facebookpage,smallimage,governor2,president1,vicepresident3,family,primeminister1,military_data1,mother,currentlyresides,imagesize,governor5,blank1,vicepresident,data2,military_data4,predecessor10,mawards,signature_alt,primeminister3,placeofburial_label,honorific_suffix,birthname,termstart3,1blankname5,office9,status,prior_term,1,vicepresident4,partner,military_data2,battles_label,restingplace,signature_size,3blankname7,1namedata2,termstart1,majority3,blank4,education,relation,alma_mater,parents,military_blank2,order10,2namedata7,vicepresident6,majority,predecessor1,portfolio,lieutenant3,office8,profesion,networth,1namedata5,monarch,othername,order8,deputy,1namedata,term_end1,article_title
S.K. Trimurti,,,S K Trimurti 12 July 1947 KR.jpg,,Menteri Perburuhan Indonesia,Ke-1,3 Juli 1947,29 Januari 1948,Soekarno,Tidak ada,Kusnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boyolali, Indonesia",,"Jakarta, Indonesia",,,Sayuti Melik,2,"Guru, ekonom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soerastri Karma Trimoerti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fakultas Ekonomi Universitas Indonesia,,,,,,,,,,,,,,,,,,,,S.K. Trimurti
Sintong Panjaitan,,Sintong Panjaitan,Danjen Kopassus Sintong Panjaitan.jpg,"Sintong Panjaitan, 1985",,,,,,,,Komandan Jenderal Komando Pasukan Khusus,ke-10,Mei 1985,Agustus 1987,,Wismoyo Arismunandar,Kuntara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tarutung, Sumatera, Hindia Belanda",,,Indonesia,,Lentina Napitupulu,,,Kristen Protestan,,,,25px TNI Angkatan Darat,1963—1991,25px Letnan Jenderal TNI,,Infanteri (Kopassus),Operasi DwikoraOperasi Seroja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakarta,,,,,,,,,,HBL Mantiri,,,,,,,Sintong Hamonangan Panjaitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 Agustus 1988,,,,,,,,,,,,,,,,,,,Panglima Komando Daerah Militer IX/Udayana ke-13,,,,,,,,,,,,,,,,,19294,,,,,,,,TNI (Purnawirawan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademi Militer Nasional (1963),,,,,,,Djoko Pramono,,,,,,,,,,,,1 Januari 1992,Sintong Panjaitan
Ahmad Yunus Mokoginta,,Ahmad Junus Mokoginta,Danpuspomad Ahmad Yunus Mokoginta.jpg,,Komandan SSKAD,,12 Maret 1956,16 April 1958,,GPH Djatikoesoemo,Latief Hendraningrat,Panglima Teritorium VII/Indonesia Timur,,1950,1950,,"Tidak ada, jabatan baru",A.E. Kawilarang,Komandan Polisi Militer Daerah Jawa,,1949,1950,,Gatot Soebroto,Siswondo Parman,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kotamobagu, Sulawesi Utara",,Jakarta,,,Ny. Koriyati Mokoginta,9,,,,A.Y. Mokoginta,,25px TNI Angkatan Darat,1941 -,23px Letnan Jenderal TNI,,Polisi Militer (CPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPH Djatikoesoemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Oktober 1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademi Militer Breda di Bandung (1941),,,,,,,"Tidak ada, jabatan baru",,,,,,,,,,,,8 April 1953,Ahmad Yunus Mokoginta
Mochamad Jasin,,Mochamad Jasin,LetJen Purn- M- Jasin - Mantan Wakasad Republik Indonesia 2013-10-05 15-56.jpg,,Wakil Kepala Staf TNI Angkatan Darat,,,,,,,Panglima Kodam VIII/Brawijaya,,,,,Brigjen TNI Soemitro,Brigjen TNI Wahono,Pangdam I/Iskandar Muda,,,,,Kolonel Inf Syamaun Gaharu,Kolonel Inf Nyak Adam Kamil,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sabang, Pulau Weh, Aceh, Hindia Belanda",,Jakarta,Indonesia,,Siti Abesanti,,,,,,,25px TNI Angkatan Darat,1944 - 1970,25px Letnan Jenderal TNI,,Infanteri,,,,,,,,1973,1 Oktober 1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letjen TNI Sayidiman Suryohadiprojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,,,,,,,,1970,,,,,,,,,,,,,,,,- Menciptakan perdamaian antara Pemerintah RI dengan DI/TII pimpinan Teungku Daud Beureu'eh- Penanda tangan Petisi 50- Inisiator Operasi Trisula,,,,,,,,,,,,,,,,,,,,,,,,,,,Militer- Wakil KSAD - Pangdam VIII Brawijaya- Pangdam I/Iskandar Muda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 September 1960,,,,,,,,,,,,,,1970,,,,,"Defence General Staff College, Wellington, India (1958)",Mochamad Iyas,,,,,,Letjen TNI Umar Wirahadikusumah,,,,,,,,,,,,,Mochamad Jasin
Ali Said,Yang Mulia,Ali Said,Ali Said.png,Potret Ali Said sebagai Ketua Mahkamah Agung,Ketua Mahkamah Agung Republik Indonesia,ke-7,14 April 1984,1 Juli 1992,,Mudjono,Purwoto Gandasubrata,Jaksa Agung Republik Indonesia,ke-9,4 April 1973,18 Februari 1981,Soeharto,Sugih Arto,Ismail Saleh,Komisi Nasional Hak Asasi ManusiaKetua Komisi Nasional Hak Asasi Manusia,ke-1,1993,1996,,pejabat pertama,Djoko Soegianto,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magelang, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,,,,,,,,25px TNI Angkatan Darat,,25px Letnan Jenderal TNI,,Korps Hukum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Saleh,,,,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,9 Februari 1981,,,,,,,,,,,,,,,,,,,Menteri Kehakiman Indonesia,,,,,,,,,,,,,,,ke-17,,,,,,,,,,"hakim, perwira militer",,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTHM,,,,,,,Mudjono,,,,,,,,,,,,30 Mei 1984,Ali Said
Mohammad Syafa'at Mintaredja,,Mohammad Syafaat Mintaredja,Mohammad Syafaat Mintaredja.jpg,Mohammad Syafaat Mintaredja,Menteri Sosial Indonesia,ke-18,9 September 1971,29 Maret 1978,Soeharto,Albert Mangaratua Tambunan,Supardjo,,,,,,,,Ketua Umum Partai Persatuan Pembangunan,ke-1,1973,1978,Soeharto,,Djaelani Naro,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bogor, Jawa Barat, Indonesia",,"Jakarta, Indonesia",Indonesia,,Siti Romlah,Evac S Mintaredja,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jabatan Baru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Juni 1968,,,,,,,,,,,,,,,,,,,"Menteri Negara Penyelenggaraan Hubungan antara Pemerintah dengan MPR, DPR-GR, dan DPA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak Ada,,,,,,,,,,,,9 September 1971,Mohammad Syafa'at Mintaredja
Soesilo Soedarman,Jenderal (HOR) TNI (Purn.),Soesilo Soedarman,Sixth Development Cabinet Poster (Soesilo Soedarman).jpg,,"Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Republik IndonesiaMenteri Koordinator Bidang Politik dan Keamanan Republik Indonesia",ke-4,17 Maret 1993,18 Desember 1997,Soeharto,Sudomo,Feisal Tanjung,"Menteri Pariwisata, Pos, dan Telekomunikasi Indonesia",ke-3,21 Maret 1988,17 Maret 1993,Soeharto,Achmad Tahir,Joop Ave,Duta Besar Indonesia untuk Amerika Serikat,ke-11,1986,1988,Soeharto,Hasnan A. Habib,Abdul Rahman Ramly,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kroya, Cilacap, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,Partai Golongan Karya,Ny. Widaningsri,Indroyono Soesilo,Militer,Islam,,,Indonesia,25px TNI Angkatan Darat,,25px Jenderal TNI,,Kavaleri,,,Mayjen TNI (Purn.) Muhammad Mangundiprojo (Ayah Mertua)Letjen TNI (Purn.) Himawan Soetanto (Kakak Ipar)Laksma TNI (Purn.) Wartono Soedarman (Adik Kandung),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ikhtiar P. Pratama,,,,,,,,,,,Pembengkakan jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Militaire Academie (MA) Jogya Angkatan I (1948),,,,,,,,,,,,,,,,,,,,Soesilo Soedarman
Hamengkubuwana IX,,Hamengkubuwana IX,Hamengkubawono IX Official Portrait.jpg,"Potret resmi sebagai Wakil Presiden, 1973",Sultan Yogyakarta,ke-9,18 Maret 1940,2 Oktober 1988,,Hamengkubuwana VIII,Hamengkubuwana X,Wakil Presiden Indonesia,ke-2,23 Maret 1973,23 Maret 1978,Soeharto,Mohammad Hatta,Adam Malik,"Daftar Menteri Koordinator Bidang Perekonomian IndonesiaMenteri Koordinator Ekonomi, Keuangan, dan Industri Indonesia",ke-1,25 Juli 1966,29 Maret 1973,Soeharto,"Tidak ada, jabatan baru",Widjojo Nitisastro,6 September 1950,27 April 1951,Soekarno,Abdul Hakim,Suwiryo,,,18 Maret 1966,27 Maret 1966,,Soebandrio(Wakil Perdana Menteri I),,31 Maret 1966,25 Juli 1966,,,Jabatan dihapuskan,Menteri Negara Indonesia,,,,,,Menteri Negara,,,,"Ngasem, Kesultanan Ngayogyakarta Hadiningrat, Keresidenan Yogyakarta, Hindia Belanda",,"Washington, D.C., Amerika Serikat",,,,,,,Sign HBIX.png,,,25px|ki TNI Angkatan Darat,1945–1953,25px|  Jenderal TNI (Tit.),,,,,,,,,,,,ke-1,,,,,,,,,,,,,,Surono Reksodimedjo,,,,,,Mohammad Natsir,,,,,,,,Daftar Wakil Perdana Menteri IndonesiaWakil Perdana Menteri Indonesia,,1967,,,,,,,2 Oktober 1988,,Masa jabatan (ad interim),,,,Gusti Raden Mas Dorodjatun,,Mulai bertakhta,,,,,,,Menteri/Ketua Badan Pemeriksa Keuangan,,,,,,,,,,Paku Alam VIII,,,,,M. Sarbini,,,,,,,,,,Komite Olahraga Nasional Indonesia,,"Johannes Leimena, Adam Malik, Soeharto, Idham Chalid",Paku Alam VIII,,1986,,,,"Johannes Leimena, Adam Malik (a.i.), Idham Chalid, Roeslan Abdulgani",Ingkang Sinuwun Sri Sultan,,,ke-5,,,4 Maret 1950,,,,,,27 November 1974,,,14 Agustus 1961,,,Soekarno,,"Tidak ada, jabatan baru",,,Menteri Pariwisata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tidak ada, jabatan baru",,,,,,,,,Ketua Kwartir Nasional Gerakan Pramuka,,,,,,,,,,,,,,,,,,,,ke-1,Menteri Pertahanan,,,,,,Gubernur Daerah Istimewa Yogyakarta,,,,,,ke-1,,,,Hamengkubuwana IX
Soerjadi (hakim),Yang Mulia Mr.,Soerjadi,Soerjadi.jpg,Potret Soerjadi sebagai Ketua Mahkamah Agung,Ketua Mahkamah Agung Republik Indonesia,ke-3,21 Juni 1966,Agustus 1968,,Wirjono Prodjodikoro,Soebekti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soekarno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hakim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soerjadi (hakim)
Subroto,,,Subroto.jpg,,Daftar Menteri Energi dan Sumber Daya Mineral Indonesia,ke-7,29 Maret 1978,21 Maret 1988,Soeharto,Mohammad Sadli,Ginandjar Kartasasmita,Daftar Menteri Ketenagakerjaan Indonesia,"Menteri Transmigrasi dan Koperasi (11 September 1971-28 Maret 1973); Menteri Tenaga Kerja, Transmigrasi, dan Koperasi (28 Maret 1973-29 Maret 1978).",11 September 1971,29 Maret 1978,Soeharto,M. Sarbini,Harun ZainRadius PrawiroBustanil Arifin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sewu, Jebres, Surakarta, Jawa Tengah, Hindia Belanda",,Jakarta,Indonesia,,Trisnawati,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menteri Tenaga Kerja, Transmigrasi, dan Koperasi Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Pertambangan dan Energi Indonesia,,,,,,,,,,,,,,Universitas Indonesia,,,,,,,,,,,,,,,,,,,,Subroto
Andi Muhammad Ghalib,,Andi Muhammad Ghalib,Andi Muhammad Ghalib.jpg,Potret resmi sebagai Kababinkum ABRI,Jaksa Agung Republik Indonesia,ke-15,1998,1999,Bacharuddin Jusuf Habibie,Soedjono C. Atmonegoro,Marzuki Darusman,Anggota Dewan Perwakilan Rakyat,,1 Oktober 2014,9 Mei 2016,,,Andi Djamaro Dulung,,,1 Oktober 2004,30 September 2009,,,,1998,1998,,Suhardi,Timur P. Manurung,Wakil Gubernur Sulawesi Selatan,ke-4,1992,1995,,Ambo Eteng Amin,Dharmadi Charsyah,,,,,,,,,,,,,,,,"Kaju, Tunreng Tellue, Sibulue, Bone, Sulawesi, Indonesia",,"Jakarta, Indonesia",,Partai Persatuan Pembangunan,Andi Murniati,,,Islam,,,,25px TNI Angkatan Darat,1969—1999,25px Letnan Jenderal TNI,,Korps Hukum (Chk),,,,,,,,,,,,,,,,Sulawesi Selatan I,,,,,,,,,,,,,,,,,,,,,,Kepala Badan Pembinaan Hukum Angkatan Bersenjata Republik Indonesia,,,,,,,,Rizali Wilmar Indrakesuma,,,,,,,,,,,,,,,,,,,150px,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,Sulawesi Selatan II,,,,,,,,,,Duta Besar Indonesia untuk India,,,,,,,,,,,,,,,ke-17,,,,,,,,,,,,,,,,,,,,,,,,Susilo Bambang Yudhoyono,,,,,,,,Zainal Basri Palaguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donnilo Anwar,,,,,,,,,,,,2013,Andi Muhammad Ghalib
Widjojo Soejono,Jenderal TNI (Purn.),,250px,Jenderal TNI (Purn) Widjojo Soejono,Kepala Staf Komando Keamanan dan Ketertiban,,1980,1982,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tulungagung, Jawa Timur",,Jakarta Pusat,,,Ny. Siti Mastoechajah (Alm),1. Enny Lukitaning Diah2. Wedhia Purwaningsih3. Ariyati Sihwarini4. Hardini Surjaningsih5. Budhi Soejono,,Islam,,,,25px TNI Angkatan Darat,1945–1982,25px Jenderal TNI,,Infanteri (Kopassandha),,,"Martodidjojo (Ayah)Roesmirah (Ibu) Kolonel Dr. Soewondo (Kakak)
Widjojo Soeprapto (Kakak)",,,Panglima Kopkamtib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brigjen TNI Witarmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,,,,,,,,,,,,,,,,,,,Komandan Jenderal Komando Pasukan Khusus,,,,,,,,,,,,,,,ke-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widjojo Soejono,,,Adam Malik,,,,,,,,,,,,,,,Komandan Pusat Pasukan Khusus Angkatan Darat,,,,,,,,,,,,,,Peta (1945),,,,,,,Brigjen TNI Sarwo Edhi Wibowo,,,,,,,,,,,Sudomo,1970,Widjojo Soejono
Cosmas Batubara,,,Cosmas Batubara - Fourth Development Cabinet.jpg,,Menteri Tenaga Kerja dan Transmigrasi Republik IndonesiaMenteri Tenaga Kerja Indonesia,ke-16,21 Maret 1988,17 Maret 1993,Soeharto,Sudomo,Abdul Latief,Menteri Negara Perumahan Rakyat Republik IndonesiaMenteri Negara Perumahan Rakyat Indonesia,ke-1,22 April 1978,21 Maret 1988,Soeharto,Tidak ada,Siswono Yudohusodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purba Saribu, Haranggaol Horison, Simalungun, Sumatera Utara, Hindia Belanda",,Jakarta,Indonesia,Partai Golkar,R.A. Cypriana Hadiwijono,,Pengusaha,Katolik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Komisaris Agung Podomoro dan Agung Sedayu Group  Rektor Podomoro University  Ketua Umum Yayasan Unika Santo Thomas Sumatera Utara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Indonesia,,,,,,,,,,,,,,,,,,,,Cosmas Batubara
Endang Kusuma Inten Soeweno,,Endang Kusuma Inten Soeweno,Sixth Development Cabinet Poster (Endang Kusuma Inten Soeweno).jpg,,Menteri Sosial Indonesia,ke-22,17 Maret 1993,14 Maret 1998,Soeharto,Haryati Soebadio,Siti Hardijanti Rukmana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tulungagung, Jawa Timur, Hindia Belanda",,,Indonesia,,Letjen TNI (Purn.) Soeweno,,,Islam,,,,,,,,,,,Brigjen TNI (Purn.) dr. H. Koesen Hirohoesodo (Ayah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endang Kusuma Inten Soeweno
Bernardus Sugiarta Muljana,,Bernardus Sugiharta Muljana,Bernardus Sugiarta Muljana - Fifth Development Cabinet.jpg,,Daftar Wakil Menteri Perencanaan Pembangunan Nasional Indonesia  Menteri Muda Perencanaan Pembangunan Nasional,ke-1,23 Maret 1988,11 Maret 1993,Soeharto,"tidak ada, jabatan baru",Lukita Dinarsyah Tuwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yogyakarta, DI Yogyakarta, Hindia Belanda",,"Jakarta, DKI Jakarta, Indonesia",Indonesia,,,,,Katolik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Indonesia,,,,,,,,,,,,,,,,,,,,Bernardus Sugiarta Muljana
Maraden Panggabean,Jenderal TNI (Purn.),,"Maraden Panggabean, Irian Barat dari Masa ke Masa, Preface.jpg",Maraden Panggabean Tahun 1971,Daftar Ketua Dewan Pertimbangan AgungKetua Dewan Pertimbangan Agung Republik Indonesia,ke-8,1983,1993,Soeharto,Idham Chalid,Sudomo,"Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Republik IndonesiaMenteri Koordinator Bidang Politik dan Keamanan Republik Indonesia",ke-1,29 Maret 1978,19 Maret 1983,,Jabatan baru,Surono Reksodimedjo,Panglima Tentara Nasional IndonesiaPanglima Angkatan Bersenjata Republik Indonesia,ke-6,28 Maret 1973,17 April 1978,,Soeharto,M. Jusuf,9 September 1971,29 Maret 1978,,Soeharto,M. Jusuf,Wakil Panglima Tentara Nasional Indonesia  Wakil Panglima Angkatan Bersenjata Republik Indonesia,ke-2,9 September 1971,28 Maret 1973,,A. H. Nasution,Sumitro,19 November 1969,9 September 1971,,Soeharto,Soemitro,Kepala Staf TNI Angkatan Darat,ke-8,1 Mei 1967,25 November 1969,,,,Soeharto,Umar Wirahadikusumah,,"Pansur Napitu, Tarutung, Keresidenan Tapanuli",,"Jakarta, Indonesia",,,Meida Saimima Matiur br. Tambunan,,,,Signature of Maraden Panggabean.svg,,,25px  TNI Angkatan Darat,1945—1978,25px  Jenderal TNI,,Infanteri,Revolusi Nasional IndonesiaKonfrontasi Indonesia–MalaysiaInvasi Indonesia ke Timor Timur,,,,ke-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Pertahanan Republik IndonesiaMenteri Pertahanan dan Keamanan Indonesia,,,,,,Komando Operasi Pemulihan Keamanan dan KetertibanPanglima Komando Operasi Pemulihan Keamanan dan Ketertiban,,,29 Mei 1967,,,,,,Maraden Saur Halomoan Panggabean,,,,,,,,,,,,,,,,,,,Umar Wirahadikusumah,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-14,,,16 Agustus 1966,,,,,,,,,,,,,,,,,,12150,,,,,,Gatot Soebroto,,Tentara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wakil Kepala Staf TNI Angkatan Darat,,,,,,ke-3,,,,Maraden Panggabean
R. Hartono,,,Jenderal TNI R. Hartono.png,,Daftar Menteri Dalam Negeri IndonesiaMenteri Dalam Negeri Indonesia,ke-21,16 Maret 1998,21 Mei 1998,Soeharto,Yogie Suardi Memet,Syarwan Hamid,Daftar Menteri Penerangan IndonesiaMenteri Penerangan Indonesia,ke-23,17 Maret 1997,16 Maret 1998,Soeharto,Harmoko,Alwi Dahlan,Kepala Staf TNI Angkatan Darat,ke-18,13 Februari 1995,13 Juni 1997,,Wismoyo Arismunandar,Wiranto,1993,1994,,Soekarto,Moetojib,,,,,,,,,,,,,,,,,,,,,,,"Pamekasan, Madura, Hindia Belanda",,,Indonesia,Partai Karya Peduli Bangsa,Oetari,1. Himawan Sukmadianto 16-10-19642. Rudy Chandra Satriawan 12-11-19683. Torry Widyantoro 26-09-1971/ 2003 (Alm)4. Yudha Bramantia 18-01-1973,TNI  Politisi,,,,,25px TNI Angkatan Darat,1962—1997,25px Jenderal TNI,,Kavaleri,,,R. Osman Prawiro Asmoro (Bapak)R.A. Soekarni (Ibu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gubernur Lemhannas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-8,,,,,,,,,,,,,,,,,,,,,19067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademi Militer Nasional (1962),,,,,,,,,,,,,,,,,,,,R. Hartono
Soemitro,,Soemitro,"Soemitro, Riwayat Hidup Anggota-Anggota Majelis Permusyawaratan Rakyat Hasil Pemilihan Umum 1971, p1010.jpg",Jenderal Soemitro,Wakil Panglima Tentara Nasional IndonesiaWakil Panglima Angkatan Bersenjata Republik Indonesia,ke–3,9 September 1971,2 Maret 1974,Soeharto,Maraden Panggabean,Surono Reksodimedjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Probolinggo, Jawa Timur",,Jakarta,,,,,,,,,,,1943—1974,25px|  Jenderal TNI,,,Revolusi Nasional Indonesia,,,,,Panglima,,,,,,,Hamengkubuwono IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenderal TNI (Purn.) Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 September 1971,,,,,,,,,,,,,,,,,,,Komando Operasi Pemulihan Keamanan dan Ketertiban Panglima Komando Keamanan dan Ketertiban,,,,,,,,,,,,,,,ke-3,,,,,,,,,,Tentara,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maraden Panggabean,,,,,,,,,,,SoehartoMaraden Panggabean,2 Maret 1974,Soemitro
