key,commander1,birth_date,death_date,image,page_title,summary,wikiurl
Konflik Papua,Suharto,1921-06-08,2008-01-27,"President_Suharto,_1993.jpg",Soeharto,"Jenderal Besar TNI (Purn.) H. M. Soeharto, (pelafalan dalam bahasa Indonesia: [/suːˈhɑːrtɔ/]; ER, EYD: Suharto; 8 Juni 1921 – 27 Januari 2008) adalah Presiden kedua Indonesia yang menjabat dari tahun 1967 hingga 1998. Secara luas dianggap sebagai diktator militer oleh pengamat internasional, Soeharto memimpin Indonesia sebagai rezim otoriter sejak kejatuhan pendahulunya Soekarno pada tahun 1967 hingga pengunduran dirinya pada tahun 1998 menyusul kerusuhan nasional. Kediktatorannya selama 32 tahun dianggap sebagai salah satu kediktatoran paling brutal dan korup di abad ke-20.Sebelum menjadi presiden, Soeharto adalah pemimpin militer pada masa Hindia Belanda dan Kekaisaran Jepang, dengan pangkat terakhir Mayor Jenderal. Setelah Gerakan 30 September 1965, Soeharto kemudian melakukan operasi penertiban dan pengamanan atas perintah dari Presiden Soekarno, salah satu yang dilakukannya adalah dengan menumpas Gerakan 30 September dan menyatakan bahwa PKI sebagai organisasi terlarang. Berbagai kontroversi menyebut operasi ini menewaskan sekitar 100.000 hingga 2 juta jiwa.Soeharto kemudian diberi mandat oleh Majelis Permusyawaratan Rakyat Sementara (MPRS) sebagai Presiden pada 26 Maret 1968 menggantikan Soekarno, dan resmi menjadi presiden pada tahun 1968. Ia dipilih kembali oleh MPR pada tahun 1973, 1978, 1983, 1988, 1993, dan 1998. Pada tahun 1998, masa jabatannya berakhir setelah mengundurkan diri pada tanggal 21 Mei tahun tersebut, menyusul terjadinya kerusuhan Mei 1998 dan pendudukan gedung DPR/MPR oleh ribuan mahasiswa. Ia merupakan orang terlama yang menjabat sebagai presiden Indonesia. Soeharto digantikan oleh B.J. Habibie.",https://id.wikipedia.org/wiki/Soeharto
Konflik Papua,Leonardus Benyamin Moerdani,1932-10-02,2004-08-29,Leonardus Benjamin Moerdani as Commander of the Indonesian National Armed Forces.jpg,Leonardus Benyamin Moerdani,"Jenderal TNI (Purn.) Leonardus Benyamin Moerdani, atau L.B. Moerdani, atau kerap disebut Benny Moerdani (2 Oktober 1932 – 29 Agustus 2004) adalah salah satu tokoh militer Indonesia paling berpengaruh pada era Orde Baru. Benny Moerdani dikenal sebagai perwira TNI yang banyak berkecimpung di dunia intelijen, sehingga sosoknya banyak dianggap misterius. Selain itu, Ia juga memiliki julukan yang merupakan antitesis dari Soeharto yaitu ""Unsmiling General"".Moerdani merupakan perwira yang ikut terjun langsung di operasi militer penanganan pembajakan pesawat Garuda Indonesia Penerbangan 206 di Bandara Don Mueang, Bangkok, Kerajaan Thai pada tanggal 28 Maret 1981, peristiwa yang kemudian dicatat sebagai peristiwa pembajakan pesawat pertama dalam sejarah maskapai penerbangan Republik Indonesia dan terorisme bermotif jihad pertama di Indonesia. Ia juga dianggap banyak kalangan sebagai sosok yang bertanggung jawab terhadap peristiwa Tanjung Priok dan penembakan misterius pada tahun 1980-an .",https://id.wikipedia.org/wiki/Leonardus_Benyamin_Moerdani
Konflik Papua,Wiranto,1947-04-04,"",Wiranto2.jpg,Wiranto,"Jenderal TNI (Purn.) Dr. H. Wiranto S.H. S.I.P. M.M. (lahir 4 April 1947) adalah seorang mantan perwira tinggi militer dan politikus senior berkebangsaan Indonesia. Saat ini, ia diberi mandat oleh Presiden Joko Widodo untuk menjabat sebagai Ketua Dewan Pertimbangan Presiden pada akhir 2019. Kiprahnya di politik di awali ketika dirinya ditunjuk menjadi Menteri Pertahanan dan Keamanan menjelang berakhirnya masa Orde Baru. Saat itu, Wiranto tergabung dalam Golongan Karya hingga akhirnya ia membentuk partai baru bernama Partai Hati Nurani Rakyat pada tahun 2006.Wiranto merupakan lulusan Akademi Militer Nasional 1968 berhasil meniti karir militer sampai puncak jabatan di ABRI (sekarang TNI) sebagai Panglima merangkap Menhankam.Jabatan rangkap sebagai Menhankam/Pangab, kecuali Wiranto juga pernah dijabat oleh Jenderal TNI (Purn.) M. Jusuf. Pada pergantian Orde Baru ke Orde Reformasi tahun 1998/1999, Wiranto sebagai Menhankam/Pangab memiliki peran yang sangat menentukan dalam mengawal proses pergantian tersebut.",https://id.wikipedia.org/wiki/Wiranto
Konflik Papua,Try Sutrisno,1935-11-15,,Try_Sutrisno_Official_Portrait.jpg,Try Sutrisno,"Jenderal TNI (Purn.) H. Try Sutrisno (lahir 15 November 1935) adalah Wakil Presiden Indonesia ke-6 periode 1993–1998. Sebelum diangkat sebagai Wakil Presiden Indonesia, Try menjabat sebagai Panglima Angkatan Bersenjata Republik Indonesia (ABRI).",https://id.wikipedia.org/wiki/Try_Sutrisno
Konflik Papua,B. J. Habibie,1936-06-25,2019-09-11,"B._J._Habibie,_President_of_Indonesia_portrait.jpg",B. J. Habibie,"Prof. Dr.-Ing. Ir. H. Bacharuddin Jusuf Habibie, FREng. (25 Juni 1936 – 11 September 2019) adalah Presiden Republik Indonesia yang ketiga. Sebelumnya, B.J. Habibie menjabat sebagai Wakil Presiden Republik Indonesia ke-7, menggantikan Try Sutrisno. B. J. Habibie menggantikan Soeharto yang mengundurkan diri dari jabatan presiden pada tanggal 21 Mei 1998. Sebelum memasuki dunia politik, Habibie dikenal luas sebagai seorang profesor dan ilmuwan dalam teknologi aviasi internasional dan satu-satunya presiden Indonesia hingga saat ini yang berlatarbelakang teknokrat.",https://id.wikipedia.org/wiki/B._J._Habibie
Konflik Papua,Abdurrahman Wahid,1940-09-07,2009-12-30,President_Abdurrahman_Wahid_-_Indonesia.jpg,Abdurrahman Wahid,"Dr. (H.C.) K.H. Abdurrahman Wahid, Lc. ( ; dilahirkan dengan nama Abdurrahman ad-Dakhil; 7 September 1940 – 30 Desember 2009), atau lebih dikenal dengan nama Gus Dur (), adalah seorang politikus Indonesia dan pemimpin agama Islam yang menjabat sebagai presiden Indonesia ke-4, dari pemilu tahun 1999 hingga pemakzulannya pada tahun 2001. Selain sebagai pemimpin organisasi Nahdlatul Ulama, ia juga merupakan pendiri Partai Kebangkitan Bangsa (PKB). Ia adalah putra Menteri Agama Wahid Hasyim, dan cucu dari pendiri Nahdlatul Ulama, Hasyim Asy'ari. Ia menderita gangguan penglihatan yang disebabkan oleh glaukoma; Ia mengalami kebutaan total pada mata kirinya dan mata kanannya buta sebagian. Ia merupakan presiden Indonesia pertama dan satu-satunya (sejauh ini) yang memiliki disabilitas fisik.",https://id.wikipedia.org/wiki/Abdurrahman_Wahid
Konflik Papua,Megawati Sukarnoputri,1947-01-23,,President_Megawati_Sukarnoputri_-_Indonesia.jpg,Megawati Soekarnoputri,"Prof. Dr. (H.C.) Hj. Diah Permata Megawati Setiawati Soekarnoputri (lahir 23 Januari 1947) adalah Presiden Indonesia yang kelima yang menjabat sejak 23 Juli 2001 sampai 20 Oktober 2004. Ia merupakan presiden wanita Indonesia pertama dan putri dari presiden Indonesia pertama, Soekarno, yang kemudian mengikuti jejak ayahnya menjadi Presiden Indonesia. Pada 20 September 2004, ia kalah suara dari Susilo Bambang Yudhoyono dalam Pemilu Presiden 2004 putaran yang kedua.",https://id.wikipedia.org/wiki/Megawati_Soekarnoputri
Konflik Papua,Susilo Bambang Yudhoyono,1949-09-09,,Presiden_Susilo_Bambang_Yudhoyono.png,Susilo Bambang Yudhoyono,"Jenderal TNI (HOR) (Purn.) Prof. Dr. H. Susilo Bambang Yudhoyono, M.A. (lahir 9 September 1949), atau lebih dikenal dengan inisialnya SBY, adalah Presiden Indonesia keenam yang menjabat sejak 20 Oktober 2004 sampai 20 Oktober 2014. Ia merupakan Presiden pertama di era Reformasi yang terpilih melalui Pemilihan Umum secara langsung. SBY bersama Wakil Presiden Muhammad Jusuf Kalla, terpilih dalam Pemilu Presiden 2004. Ia berhasil melanjutkan pemerintahannya untuk periode kedua dengan kembali memenangkan Pemilu Presiden 2009, kali ini bersama Wakil Presiden Boediono. Sejak era Reformasi dimulai, Susilo Bambang Yudhoyono merupakan Presiden Indonesia pertama yang menyelesaikan masa jabatan selama 5 tahun dan berhasil terpilih kembali untuk periode kedua.",https://id.wikipedia.org/wiki/Susilo_Bambang_Yudhoyono
Konflik Papua,Andika Perkasa,1964-12-21,,"Jenderal_TNI_Andika_Perkasa,_Panglima_TNI.jpg",Andika Perkasa,"Jenderal TNI (Purn.) Muhammad Andika Perkasa, S.E., M.A., M.Sc., M.Phil., Ph.D. (nama lahir: Fransiskus Xaverius Emanuel Andika Perkasa, lahir 21 Desember 1964) adalah seorang purnawirawan TNI yang menjabat Panglima Tentara Nasional Indonesia pada tahun 2021 sampai 2022. Andika merupakan lulusan Akademi Militer tahun 1987. Sebelumnya, dia menjabat sebagai Kepala Staf TNI Angkatan Darat. Pada saat dilantik, ia adalah Panglima TNI tertua sepanjang sejarah, tetapi rekor itu dipecahkan oleh Laksamana Yudo Margono yang dilantik menggantikannya pada tanggal 19 Desember 2022. Selain itu juga berasal dari keluarga campuran Magelang, Jawa Tengah dan Blitar, Jawa Timur.",https://id.wikipedia.org/wiki/Andika_Perkasa
Pertempuran Surabaya,Moehammad Jasin,1920-06-09,2012-05-03,Moehammad_Jasin.jpg,Moehammad Jasin,"Komisaris Jenderal Polisi (Purn.) Dr. H. Moehammad Jasin (9 Juni 1920 – 3 Mei 2012) yang dikenal sebagai ""Bapak Brimob Polri"". Moehammad Jasin menghembuskan nafas terakhir pada hari Kamis tanggal 3 Mei 2012 pukul 15.30 WIB, dalam usia 91 tahun di RS Polri Kramat Jati[1] dan dimakamkan di Taman Makam Pahlawan Kalibata.",https://id.wikipedia.org/wiki/Moehammad_Jasin
Pertempuran Surabaya,Hario Jonosewojo,1920-06-09,1994-03-22,https://d220hvstrn183r.cloudfront.net/attachment/55089736130230161617.large,Hario Jonosewojo,"Mayor Jenderal TNI (Purn.) Kanjeng Raden Mas Hario Jonosewojo Handajaningrat atau K.R.M. Hario Jonosewojo Handajaningrat (9 Juni 1921 – 22 Maret 1994) adalah seorang tokoh militer Indonesia. Dan mantan Panglima Divisi VI/Narotama TRI. Ia juga seorang tokoh yang berperan dalam membantu dalam perjuangan kemerdekaan Indonesia dan perkembangan lembaga olahraga di Indonesia. Ia akrab dipanggil mas Piet. Ia merupakan lulusan pendidikan di Command General Staff College Regular Course di Fort Leavenworth Kansas, AS pada tahun 1960-1961, dimana sepulang dari pendidikan tersebut beliau dan keluarga menempati kediaman di jalan Lembang Terusan, Jakarta hingga akhir hayatnya. Sejak remaja ia sering bermain tennis. Ia sering mengikuti berbagai kejuaraan namun belum pernah juara. Ia masuk PELTI (Persatuan Lawn Tennis Indonesia) sejak serikat tennis ini didirikan pada tahun 1948. 15 tahun semenjak ia bergabung dengan PELTI, ia dipercaya menjadi ketua umum PELTI pada tahun 1963. Ia juga pernah menjadi Ajudan Senior Pejabat Presiden Djuanda dan kepala sekuriti BKR (Badan Keamanan Rakyat) Surabaya.[1]",https://id.wikipedia.org/wiki/Hario_Jonosewojo
